header,score
no,-4.577579021453857
wait,-4.7292160987854
no,-4.425608158111572
wait,-4.669829368591309
no,-4.591516017913818
wait,-4.736643314361572
no,-4.436209201812744
wait,-4.67941951751709
no,-4.5857062339782715
wait,-4.768048286437988
no,-4.4454851150512695
wait,-4.719163417816162
no,-4.582785129547119
wait,-4.7714104652404785
no,-4.459444046020508
wait,-4.668231964111328
no,-4.8693976402282715
wait,-4.996182441711426
no,-4.752652645111084
wait,-4.952469825744629
no,-4.6807708740234375
wait,-4.8445258140563965
no,-4.547918796539307
wait,-4.814436912536621
no,-4.803713321685791
wait,-5.084300518035889
no,-4.701448440551758
wait,-5.006302833557129
no,-4.837810039520264
wait,-5.1891889572143555
no,-4.7016754150390625
wait,-5.0888190269470215
no,-4.781937599182129
wait,-4.935722827911377
no,-4.662775993347168
wait,-4.892577171325684
no,-4.7445573806762695
wait,-4.955733776092529
no,-4.611871719360352
wait,-4.875216960906982
no,-4.547863960266113
wait,-4.711158275604248
no,-4.401014804840088
wait,-4.610656261444092
no,-4.586937427520752
wait,-4.846086502075195
no,-4.468478679656982
wait,-4.705913543701172
no,-4.740336894989014
wait,-5.016892910003662
no,-4.54630184173584
wait,-4.646664619445801
no,-4.751732349395752
wait,-4.9014506340026855
no,-4.4755072593688965
wait,-4.680081844329834
no,-4.737215518951416
wait,-4.904963493347168
no,-4.634000778198242
wait,-4.723398685455322
no,-4.709984302520752
wait,-4.930721759796143
no,-4.44826078414917
wait,-4.7340497970581055
no,-4.841622829437256
wait,-5.056901454925537
no,-4.662147521972656
wait,-4.853435516357422
no,-4.726781845092773
wait,-4.958397388458252
no,-4.500053882598877
wait,-4.687831878662109
no,-4.890992641448975
wait,-5.006214618682861
no,-4.735537528991699
wait,-4.907215595245361
no,-4.764308929443359
wait,-4.991016864776611
no,-4.512206077575684
wait,-4.750613689422607
no,-4.27670955657959
wait,-4.501324653625488
no,-4.375092029571533
wait,-4.562278747558594
no,-4.2831292152404785
wait,-4.386514663696289
no,-4.369110584259033
wait,-4.489893436431885
no,-4.277177810668945
wait,-4.364712238311768
no,-4.3433990478515625
wait,-4.462589740753174
no,-4.180331230163574
wait,-4.2752556800842285
no,-4.238996982574463
wait,-4.368804454803467
no,-4.306283473968506
wait,-4.406996250152588
no,-4.3874640464782715
wait,-4.505147457122803
no,-4.167799949645996
wait,-4.307976245880127
no,-4.256862640380859
wait,-4.409092426300049
no,-4.226512908935547
wait,-4.2906060218811035
no,-4.27025032043457
wait,-4.367809295654297
no,-4.251527786254883
wait,-4.389405250549316
no,-4.282279014587402
wait,-4.438862323760986
no,-4.351480007171631
wait,-4.460812568664551
no,-4.414376735687256
wait,-4.522574424743652
no,-4.463294506072998
wait,-4.66335916519165
no,-4.546102523803711
wait,-4.7376275062561035
no,-4.413848400115967
wait,-4.699180603027344
no,-4.336911678314209
wait,-4.638515949249268
no,-4.422994136810303
wait,-4.603614807128906
no,-4.380245208740234
wait,-4.6398138999938965
no,-4.486993312835693
wait,-4.649312496185303
no,-4.492920875549316
wait,-4.7430830001831055
no,-4.537639617919922
wait,-4.676250457763672
no,-4.503197193145752
wait,-4.755096912384033
no,-4.417407989501953
wait,-4.567951679229736
no,-4.347090721130371
wait,-4.6521711349487305
no,-4.399428844451904
wait,-4.5871171951293945
no,-4.303927421569824
wait,-4.545632362365723
no,-4.435730457305908
wait,-4.622957229614258
no,-4.345815181732178
wait,-4.5142388343811035
no,-4.399552822113037
wait,-4.574252128601074
no,-4.372594833374023
wait,-4.670327663421631
no,-4.547306537628174
wait,-4.682116508483887
no,-4.514745712280273
wait,-4.77711296081543
no,-4.540605545043945
wait,-4.797524452209473
no,-4.467196464538574
wait,-4.778165817260742
no,-4.659510135650635
wait,-4.920666217803955
no,-4.444026470184326
wait,-4.747732639312744
no,-4.680164337158203
wait,-4.930181503295898
no,-4.43175745010376
wait,-4.7234344482421875
no,-4.552578449249268
wait,-4.8238019943237305
no,-4.397883892059326
wait,-4.681492805480957
no,-4.62085485458374
wait,-4.883142948150635
no,-4.417809009552002
wait,-4.67822265625
no,-4.660219192504883
wait,-4.956362724304199
no,-4.433565139770508
wait,-4.766615390777588
no,-4.8235907554626465
wait,-5.074891090393066
no,-4.496847152709961
wait,-4.774343490600586
no,-4.670732498168945
wait,-4.919363498687744
no,-4.466106414794922
wait,-4.731930255889893
no,-4.7369818687438965
wait,-4.992713451385498
no,-4.591235160827637
wait,-4.8909077644348145
no,-4.576735019683838
wait,-4.890548229217529
no,-4.424104690551758
wait,-4.789104461669922
no,-4.613639831542969
wait,-4.886855125427246
no,-4.419775485992432
wait,-4.774727821350098
no,-4.442468166351318
wait,-4.668574333190918
no,-4.381324768066406
wait,-4.591631889343262
no,-4.688072681427002
wait,-4.833003997802734
no,-4.562160015106201
wait,-4.761025428771973
no,-4.650306224822998
