header,score
no,-3.243401288986206
wait,-3.4008302688598633
no,-3.210753917694092
wait,-3.3556220531463623
no,-3.32197642326355
wait,-3.390815258026123
no,-3.3244247436523438
wait,-3.4280364513397217
no,-3.2626426219940186
wait,-3.381319522857666
no,-3.2525806427001953
wait,-3.356043577194214
no,-3.284639835357666
wait,-3.382197380065918
no,-3.297215223312378
wait,-3.396956443786621
no,-3.454191207885742
wait,-3.597748279571533
no,-3.446270704269409
wait,-3.590425729751587
no,-3.5111875534057617
wait,-3.623472213745117
no,-3.4912049770355225
wait,-3.6007752418518066
no,-3.543140172958374
wait,-3.578564405441284
no,-3.5013113021850586
wait,-3.5707666873931885
no,-3.394408702850342
wait,-3.496851921081543
no,-3.3737776279449463
wait,-3.4658422470092773
no,-3.37869930267334
wait,-3.480994462966919
no,-3.379871368408203
wait,-3.4405994415283203
no,-3.427947521209717
wait,-3.570781946182251
no,-3.407233476638794
wait,-3.5613274574279785
no,-3.308551549911499
wait,-3.5022244453430176
no,-3.21789813041687
wait,-3.3704845905303955
no,-3.2718281745910645
wait,-3.4135019779205322
no,-3.0973615646362305
wait,-3.264793634414673
no,-3.3021657466888428
wait,-3.5236637592315674
no,-3.210371971130371
wait,-3.4050450325012207
no,-3.3392677307128906
wait,-3.50274395942688
no,-3.1790902614593506
wait,-3.3274106979370117
no,-3.368128538131714
wait,-3.491873025894165
no,-3.244067907333374
wait,-3.346320390701294
no,-3.3625528812408447
wait,-3.583552837371826
no,-3.275223970413208
wait,-3.4601542949676514
no,-3.3739025592803955
wait,-3.547609329223633
no,-3.210463047027588
wait,-3.36956787109375
no,-3.3706865310668945
wait,-3.488250732421875
no,-3.248619556427002
wait,-3.406446695327759
no,-3.351287841796875
wait,-3.5637941360473633
no,-3.2346246242523193
wait,-3.425724744796753
no,-3.4813480377197266
wait,-3.6094770431518555
no,-3.319606065750122
wait,-3.4668235778808594
no,-2.914414405822754
wait,-3.0839428901672363
no,-2.9626505374908447
wait,-3.1349470615386963
no,-2.933392286300659
wait,-3.087660312652588
no,-2.964266777038574
wait,-3.143242120742798
no,-2.9339702129364014
wait,-3.062553882598877
no,-3.0195767879486084
wait,-3.1640431880950928
no,-3.224801540374756
wait,-3.3953068256378174
no,-3.2703540325164795
wait,-3.4433679580688477
no,-3.059203863143921
wait,-3.1714417934417725
no,-3.116006851196289
wait,-3.233344316482544
no,-3.0380752086639404
wait,-3.1857006549835205
no,-3.1209659576416016
wait,-3.2662203311920166
no,-3.047590970993042
wait,-3.1646740436553955
no,-3.1030001640319824
wait,-3.2243142127990723
no,-3.184556722640991
wait,-3.319640636444092
no,-3.212174654006958
wait,-3.3647732734680176
no,-3.042184829711914
wait,-3.161731481552124
no,-3.136728286743164
wait,-3.2644665241241455
no,-3.0318446159362793
wait,-3.141359806060791
no,-3.130321979522705
wait,-3.2688000202178955
no,-3.1313817501068115
wait,-3.3435873985290527
no,-3.143996238708496
wait,-3.386906862258911
no,-3.1418416500091553
wait,-3.33642578125
no,-3.168288230895996
wait,-3.3912642002105713
no,-3.1828408241271973
wait,-3.3720524311065674
no,-3.210949420928955
wait,-3.428647041320801
no,-3.2254886627197266
wait,-3.4025981426239014
no,-3.276136636734009
wait,-3.466920852661133
no,-3.2336819171905518
wait,-3.4969286918640137
no,-3.2972254753112793
wait,-3.5703251361846924
no,-3.1921112537384033
wait,-3.3622629642486572
no,-3.19445538520813
wait,-3.391706705093384
no,-3.1976046562194824
wait,-3.4028515815734863
no,-3.2327356338500977
wait,-3.416910409927368
no,-3.1639962196350098
wait,-3.33211612701416
no,-3.1848928928375244
wait,-3.370311737060547
no,-3.1697444915771484
wait,-3.3253061771392822
no,-3.2062885761260986
wait,-3.3597311973571777
no,-3.157092571258545
wait,-3.385509490966797
no,-3.183039665222168
wait,-3.417309045791626
no,-2.788240909576416
wait,-2.948220729827881
no,-2.569918155670166
wait,-2.7184455394744873
no,-2.8610401153564453
wait,-3.003023862838745
no,-2.6225857734680176
wait,-2.761096239089966
no,-2.8794572353363037
wait,-3.0186233520507812
no,-2.646697521209717
wait,-2.7808756828308105
no,-3.0193629264831543
wait,-3.1383914947509766
no,-2.8548409938812256
wait,-3.0034260749816895
no,-2.9078876972198486
wait,-3.040201425552368
no,-2.6816940307617188
wait,-2.807314872741699
no,-2.9555416107177734
wait,-3.0683364868164062
no,-2.753046751022339
wait,-2.8799257278442383
no,-2.972076416015625
wait,-3.0920820236206055
no,-2.74776029586792
wait,-2.8831470012664795
no,-3.0552165508270264
wait,-3.262955665588379
no,-2.8167145252227783
wait,-3.031439781188965
no,-3.0011749267578125
wait,-3.177386522293091
no,-2.790966272354126
wait,-2.9772520065307617
no,-3.110942840576172
wait,-3.213975191116333
no,-2.8918912410736084
wait,-3.001641035079956
no,-3.171802282333374
wait,-3.3718950748443604
no,-3.1535332202911377
wait,-3.3601815700531006
no,-3.1878769397735596
wait,-3.3326497077941895
no,-3.1587882041931152
wait,-3.322378158569336
no,-3.178114414215088
wait,-3.3534648418426514
no,-3.1498653888702393
wait,-3.3523592948913574
no,-3.2106451988220215
wait,-3.3129687309265137
no,-3.182312488555908
wait,-3.2862231731414795
no,-3.222862482070923
wait,-3.318298578262329
no,-3.198368549346924
wait,-3.2911570072174072
no,-3.329501152038574
wait,-3.48530912399292
no,-3.2956008911132812
wait,-3.474099636077881
no,-3.2807998657226562
wait,-3.355224132537842
no,-3.2553796768188477
wait,-3.341770887374878
no,-3.2055439949035645
wait,-3.3203704357147217
no,-3.168930768966675
wait,-3.3060355186462402
no,-3.21079683303833
wait,-3.3424723148345947
no,-3.2326862812042236
wait,-3.354945182800293
no,-3.245331287384033
wait,-3.298043966293335
no,-3.207146644592285
wait,-3.275829553604126
no,-3.0723772048950195
wait,-3.240636110305786
no,-3.1416783332824707
wait,-3.3200178146362305
no,-3.0792195796966553
wait,-3.251417398452759
no,-3.1674091815948486
wait,-3.3414855003356934
no,-3.068538188934326
wait,-3.293161392211914
no,-3.125870943069458
wait,-3.369218349456787
no,-3.2738711833953857
wait,-3.4173426628112793
no,-3.3152105808258057
wait,-3.4864368438720703
no,-3.2392730712890625
wait,-3.3672444820404053
no,-3.30505633354187
wait,-3.4783554077148438
no,-3.2863152027130127
wait,-3.4421207904815674
no,-3.3398754596710205
wait,-3.5604772567749023
no,-3.181100606918335
wait,-3.3595759868621826
no,-3.240098476409912
wait,-3.434882879257202
no,-3.2556278705596924
wait,-3.407819986343384
no,-3.3137712478637695
wait,-3.480898141860962
no,-3.223538637161255
wait,-3.4062254428863525
no,-3.278386354446411
wait,-3.4850730895996094
no,-3.2901406288146973
wait,-3.4876315593719482
no,-3.3568484783172607
wait,-3.571263313293457
no,-3.496319532394409
wait,-3.6073968410491943
no,-3.4943580627441406
wait,-3.5732643604278564
no,-3.3254380226135254
wait,-3.4398467540740967
no,-3.343177080154419
wait,-3.425621271133423
no,-3.384363889694214
wait,-3.5542404651641846
no,-3.3600804805755615
wait,-3.523162841796875
no,-3.3738884925842285
wait,-3.4838759899139404
no,-3.3825082778930664
wait,-3.46466064453125
no,-3.444983959197998
wait,-3.5834457874298096
no,-3.416996479034424
wait,-3.5312390327453613
no,-3.4822888374328613
wait,-3.642838716506958
no,-3.4807581901550293
wait,-3.631955862045288
no,-3.598677158355713
wait,-3.742227554321289
no,-3.4988186359405518
wait,-3.7079296112060547
no,-3.493037223815918
wait,-3.6044254302978516
no,-3.477640390396118
wait,-3.564157247543335
no,-3.520160436630249
wait,-3.663452625274658
no,-3.4913792610168457
wait,-3.6075823307037354
no,-3.4781410694122314
wait,-3.6195406913757324
no,-3.4424755573272705
wait,-3.573404312133789
no,-2.806150436401367
wait,-2.983389139175415
no,-2.7161002159118652
wait,-2.875666618347168
no,-2.832491159439087
wait,-2.982961654663086
no,-2.7257297039031982
wait,-2.853208303451538
no,-2.9495322704315186
wait,-3.1160340309143066
no,-2.83909273147583
wait,-3.0035078525543213
no,-2.9804952144622803
wait,-3.122941255569458
no,-2.890976667404175
wait,-3.009288787841797
no,-3.0619237422943115
wait,-3.2288239002227783
no,-2.9843063354492188
wait,-3.1370718479156494
no,-3.102252960205078
wait,-3.314466953277588
no,-2.985792636871338
wait,-3.194518566131592
no,-3.129932403564453
wait,-3.2964181900024414
no,-3.0257959365844727
wait,-3.185148000717163
no,-3.170109748840332
wait,-3.2994725704193115
no,-3.112823247909546
wait,-3.2201967239379883
no,-3.1980974674224854
wait,-3.4036760330200195
no,-3.0806949138641357
wait,-3.2866005897521973
no,-3.1761810779571533
wait,-3.33408522605896
no,-3.0658340454101562
wait,-3.2242298126220703
no,-3.342756748199463
wait,-3.4599976539611816
no,-3.34354567527771
wait,-3.486840009689331
no,-3.4153263568878174
wait,-3.4884133338928223
no,-3.412986993789673
wait,-3.5027315616607666
no,-3.4750423431396484
wait,-3.662627935409546
no,-3.4880073070526123
wait,-3.681117296218872
no,-3.4307734966278076
wait,-3.520176410675049
no,-3.423247814178467
wait,-3.528458595275879
no,-3.4103503227233887
wait,-3.5965940952301025
no,-3.435831308364868
wait,-3.6223549842834473
no,-3.470773935317993
wait,-3.6074936389923096
no,-3.4589591026306152
wait,-3.6187827587127686
no,-3.4506824016571045
wait,-3.5773589611053467
no,-3.447716474533081
wait,-3.604376792907715
no,-3.658100128173828
wait,-3.850658893585205
no,-3.639681100845337
wait,-3.8315541744232178
no,-3.541874885559082
wait,-3.6794750690460205
no,-3.522362470626831
wait,-3.669712543487549
no,-3.5690970420837402
wait,-3.6788489818573
no,-3.5772674083709717
wait,-3.7045116424560547
no,-3.0373194217681885
wait,-3.1756789684295654
no,-2.9594829082489014
wait,-3.073498249053955
no,-3.170302391052246
wait,-3.2421059608459473
no,-3.0749928951263428
wait,-3.1629080772399902
no,-3.130375862121582
wait,-3.2438013553619385
no,-3.0439529418945312
wait,-3.1459548473358154
no,-3.1988983154296875
wait,-3.321270704269409
no,-3.0845248699188232
wait,-3.223249912261963
no,-3.327194929122925
wait,-3.4555561542510986
no,-3.295746088027954
wait,-3.448216676712036
no,-3.195279598236084
wait,-3.3885080814361572
no,-3.106691598892212
wait,-3.3171699047088623
no,-3.1899142265319824
wait,-3.386847496032715
no,-3.0994718074798584
wait,-3.2841994762420654
no,-3.2316832542419434
wait,-3.3356096744537354
no,-3.179182291030884
wait,-3.3136038780212402
no,-3.289196014404297
wait,-3.418013572692871
no,-3.178131103515625
wait,-3.3216676712036133
no,-3.28661847114563
wait,-3.3739712238311768
no,-3.1746809482574463
wait,-3.2665719985961914
no,-3.166059970855713
wait,-3.2538774013519287
no,-3.1130049228668213
wait,-3.195638418197632
no,-3.4414093494415283
wait,-3.6769816875457764
no,-3.3279433250427246
wait,-3.5664761066436768
no,-3.392488479614258
wait,-3.51275372505188
no,-3.311121940612793
wait,-3.471806049346924
no,-3.4223647117614746
wait,-3.5488576889038086
no,-3.320631265640259
wait,-3.468691349029541
no,-3.4100146293640137
wait,-3.5269265174865723
no,-3.342219829559326
wait,-3.4489572048187256
no,-3.3237884044647217
wait,-3.4337828159332275
no,-3.2753632068634033
wait,-3.377166748046875
no,-3.4192252159118652
wait,-3.554529905319214
no,-3.33377742767334
wait,-3.5021910667419434
no,-3.454674243927002
wait,-3.591066837310791
no,-3.3942012786865234
wait,-3.515233039855957
no,-3.4482264518737793
wait,-3.565122604370117
no,-3.397502899169922
wait,-3.5094399452209473
no,-3.5064892768859863
wait,-3.70147967338562
no,-3.443546772003174
wait,-3.618410587310791
no,-2.8662500381469727
wait,-3.0540361404418945
no,-2.8181653022766113
wait,-3.0267350673675537
no,-2.968597888946533
wait,-3.116001605987549
no,-2.888678550720215
wait,-3.0242767333984375
no,-2.997339963912964
wait,-3.1484696865081787
no,-2.9076809883117676
wait,-3.058119535446167
no,-3.0089271068573
wait,-3.1623566150665283
no,-2.9240994453430176
wait,-3.0666441917419434
no,-3.084627389907837
wait,-3.2867724895477295
no,-2.996899366378784
wait,-3.239675521850586
no,-3.1205854415893555
wait,-3.303203582763672
no,-3.029792308807373
wait,-3.2763614654541016
no,-3.050508737564087
wait,-3.217824697494507
no,-2.9708220958709717
wait,-3.1535871028900146
no,-3.1462242603302
wait,-3.364941358566284
no,-3.0367789268493652
wait,-3.2808022499084473
no,-3.153355121612549
wait,-3.350841760635376
no,-3.1217100620269775
wait,-3.30971622467041
no,-3.104469060897827
wait,-3.2328174114227295
no,-3.042858600616455
wait,-3.1636524200439453
no,-2.882129669189453
wait,-3.029409885406494
no,-2.9051380157470703
wait,-2.993380069732666
no,-2.991227626800537
wait,-3.175057888031006
no,-3.0087907314300537
wait,-3.1316916942596436
no,-3.120771884918213
wait,-3.273123264312744
no,-3.1040077209472656
wait,-3.2258925437927246
no,-3.108121633529663
wait,-3.3050854206085205
no,-3.1337409019470215
wait,-3.2781190872192383
no,-3.0810821056365967
wait,-3.253971815109253
no,-3.1205947399139404
wait,-3.278730630874634
no,-3.079937219619751
wait,-3.2475991249084473
no,-3.1180758476257324
wait,-3.2655251026153564
no,-3.1268396377563477
wait,-3.261207103729248
no,-3.145737409591675
wait,-3.261050224304199
no,-3.149629831314087
wait,-3.2787108421325684
no,-3.1772451400756836
wait,-3.278019666671753
no,-3.1310064792633057
wait,-3.302058696746826
no,-3.154299736022949
wait,-3.2636425495147705
no,-3.1642374992370605
wait,-3.3522732257843018
no,-3.1942734718322754
wait,-3.3245837688446045
no,-3.2271196842193604
wait,-3.365774154663086
no,-3.1527132987976074
wait,-3.296257972717285
no,-3.292898654937744
wait,-3.418552875518799
no,-3.20493221282959
wait,-3.2996864318847656
no,-3.4187982082366943
wait,-3.5574405193328857
no,-3.36110520362854
wait,-3.449842929840088
no,-3.47209095954895
wait,-3.6197352409362793
no,-3.404609203338623
wait,-3.52504825592041
no,-3.412275791168213
wait,-3.5737674236297607
no,-3.3600428104400635
wait,-3.5073907375335693
no,-3.4894869327545166
wait,-3.63774037361145
no,-3.40791392326355
wait,-3.525134801864624
no,-3.3819549083709717
wait,-3.5390655994415283
no,-3.307002544403076
wait,-3.438595771789551
no,-3.452632427215576
wait,-3.569493293762207
no,-3.39321231842041
wait,-3.47314453125
no,-3.5814623832702637
wait,-3.6841866970062256
no,-3.5071444511413574
wait,-3.6141257286071777
no,-3.4623546600341797
wait,-3.590081214904785
no,-3.3917553424835205
wait,-3.512479066848755
no,-2.7466702461242676
wait,-2.8581788539886475
no,-2.770123243331909
wait,-2.901707172393799
no,-2.7109389305114746
wait,-2.84922456741333
no,-2.667734384536743
wait,-2.8252511024475098
no,-2.759831190109253
wait,-2.7918105125427246
no,-2.7522971630096436
wait,-2.8176567554473877
no,-2.7600042819976807
wait,-2.904845952987671
no,-2.721985340118408
wait,-2.888885021209717
no,-2.830876111984253
wait,-2.8762030601501465
no,-2.8197054862976074
wait,-2.8933756351470947
no,-2.902554750442505
wait,-2.9877750873565674
no,-2.8653132915496826
wait,-2.980259895324707
no,-2.854292154312134
wait,-2.9539272785186768
no,-2.8652944564819336
wait,-2.9724440574645996
no,-2.87629771232605
wait,-2.932831287384033
no,-2.8963124752044678
wait,-2.94388747215271
no,-2.9214186668395996
wait,-3.02268385887146
no,-2.8787145614624023
wait,-2.9903528690338135
no,-2.839754343032837
wait,-2.958359956741333
no,-2.829453468322754
wait,-2.9411203861236572
no,-2.851665496826172
wait,-2.9374020099639893
no,-2.7790980339050293
wait,-2.879990816116333
no,-2.880983352661133
wait,-2.9726381301879883
no,-2.8145413398742676
wait,-2.929142713546753
no,-3.0393450260162354
wait,-3.092813730239868
no,-2.946429491043091
wait,-3.0161449909210205
no,-2.924748420715332
wait,-3.0515787601470947
no,-2.8879432678222656
wait,-3.006897211074829
no,-3.0736968517303467
wait,-3.167125940322876
no,-2.9988656044006348
wait,-3.104681968688965
no,-3.170361042022705
wait,-3.3787217140197754
no,-3.041602849960327
wait,-3.2562034130096436
no,-3.1298975944519043
wait,-3.2744030952453613
no,-3.08107852935791
wait,-3.219028949737549
no,-3.110546588897705
wait,-3.3063483238220215
no,-3.0321297645568848
wait,-3.235447406768799
no,-3.1365089416503906
wait,-3.314279317855835
no,-3.0958445072174072
wait,-3.2202110290527344
no,-3.2021467685699463
wait,-3.2552402019500732
no,-3.111785650253296
wait,-3.1759696006774902
no,-3.2249338626861572
wait,-3.3945255279541016
no,-3.1161510944366455
wait,-3.3239586353302
no,-3.3171279430389404
wait,-3.4286465644836426
no,-3.192443370819092
wait,-3.333361864089966
no,-3.1825990676879883
wait,-3.364137887954712
no,-3.075862169265747
wait,-3.300044059753418
no,-3.254814386367798
wait,-3.396362066268921
no,-3.1251235008239746
wait,-3.3080270290374756
no,-3.3206679821014404
wait,-3.4161055088043213
no,-3.217315196990967
wait,-3.3619189262390137
no,-3.296433687210083
wait,-3.4290645122528076
no,-3.191145181655884
wait,-3.351006507873535
no,-3.318558692932129
wait,-3.489504814147949
no,-3.217027425765991
wait,-3.4256131649017334
no,-3.325040102005005
wait,-3.493438959121704
no,-3.198906898498535
wait,-3.4084341526031494
no,-3.369637966156006
wait,-3.416565179824829
no,-3.2343592643737793
wait,-3.361572027206421
no,-3.3713808059692383
wait,-3.499250888824463
no,-3.2620136737823486
wait,-3.4182541370391846
no,-3.0031561851501465
wait,-3.145615577697754
no,-3.097506523132324
wait,-3.2462568283081055
no,-3.0266928672790527
wait,-3.1470789909362793
no,-3.099649667739868
wait,-3.246471643447876
no,-3.25304913520813
wait,-3.393141508102417
no,-3.3280844688415527
wait,-3.469512939453125
no,-3.1022346019744873
wait,-3.2446675300598145
no,-3.183893918991089
wait,-3.3191821575164795
no,-3.087867021560669
wait,-3.215334892272949
no,-3.1571571826934814
wait,-3.307162284851074
no,-3.200982093811035
wait,-3.341887950897217
no,-3.2620677947998047
wait,-3.3914408683776855
no,-3.2463085651397705
wait,-3.3304574489593506
no,-3.314098596572876
wait,-3.378784418106079
no,-3.1442487239837646
wait,-3.2296841144561768
no,-3.2255613803863525
wait,-3.290593147277832
no,-3.1191964149475098
wait,-3.2301132678985596
no,-3.2127013206481934
wait,-3.3145933151245117
no,-3.1586668491363525
wait,-3.2523138523101807
no,-3.2419536113739014
wait,-3.3373935222625732
no,-2.6523208618164062
wait,-2.7825071811676025
no,-2.6762771606445312
wait,-2.818999767303467
no,-2.7561709880828857
wait,-2.8852145671844482
no,-2.782226324081421
wait,-2.9234397411346436
no,-2.8814609050750732
wait,-3.01798677444458
no,-2.86847186088562
wait,-3.021874189376831
no,-2.9926578998565674
wait,-3.116255760192871
no,-3.00775408744812
wait,-3.1432244777679443
no,-3.062274694442749
wait,-3.15545392036438
no,-3.066922903060913
wait,-3.167433261871338
no,-3.060748815536499
wait,-3.240994691848755
no,-3.0662083625793457
wait,-3.2425777912139893
no,-3.218355655670166
wait,-3.3674309253692627
no,-3.209481716156006
wait,-3.371952772140503
no,-3.19037127494812
wait,-3.3228087425231934
no,-3.222245693206787
wait,-3.3682515621185303
no,-3.0641164779663086
wait,-3.198641538619995
no,-3.068183422088623
wait,-3.228750705718994
no,-3.0308995246887207
wait,-3.127601385116577
no,-3.0706074237823486
wait,-3.1850426197052
no,-3.1167991161346436
wait,-3.242511510848999
no,-3.033332586288452
wait,-3.1416308879852295
no,-3.2385122776031494
wait,-3.3690803050994873
no,-3.1086723804473877
wait,-3.251579523086548
no,-3.331955671310425
wait,-3.434947967529297
no,-3.1556522846221924
wait,-3.3215017318725586
no,-3.3530361652374268
wait,-3.4517745971679688
no,-3.203730344772339
wait,-3.346907615661621
no,-3.378568172454834
wait,-3.4857211112976074
no,-3.2484748363494873
wait,-3.37490177154541
no,-3.398754358291626
wait,-3.52982497215271
no,-3.297973394393921
wait,-3.443347692489624
no,-3.4061105251312256
wait,-3.486778736114502
no,-3.239974021911621
wait,-3.3710811138153076
no,-3.5076181888580322
wait,-3.593400716781616
no,-3.4440414905548096
wait,-3.5497140884399414
no,-3.4023046493530273
wait,-3.4823646545410156
no,-3.3004865646362305
wait,-3.414029598236084
no,-3.504124402999878
wait,-3.65187668800354
no,-3.34035587310791
wait,-3.5448222160339355
no,-2.94677472114563
wait,-3.125988721847534
no,-2.9823391437530518
wait,-3.1653037071228027
no,-2.848594903945923
wait,-2.9472100734710693
no,-2.885823965072632
wait,-2.9929592609405518
no,-2.8385872840881348
wait,-2.963749408721924
no,-2.8793604373931885
wait,-3.011474132537842
no,-2.917097806930542
wait,-3.052912950515747
no,-2.9453959465026855
wait,-3.103851318359375
no,-2.9165399074554443
wait,-3.066119909286499
no,-2.9427950382232666
wait,-3.1082446575164795
no,-3.0503244400024414
wait,-3.1867446899414062
no,-3.096330404281616
wait,-3.248120069503784
no,-2.969151496887207
wait,-3.0974574089050293
no,-2.980628490447998
wait,-3.133134603500366
no,-2.929659366607666
wait,-3.1105589866638184
no,-2.96308970451355
wait,-3.151785135269165
no,-2.9438676834106445
wait,-3.0966546535491943
no,-2.957932710647583
wait,-3.116619825363159
no,-3.0627310276031494
wait,-3.158383369445801
no,-3.0852231979370117
wait,-3.201107978820801
no,-3.352376937866211
wait,-3.4360439777374268
no,-3.2637007236480713
wait,-3.376242160797119
no,-3.519331932067871
wait,-3.59374737739563
no,-3.3769240379333496
wait,-3.483283281326294
no,-3.4937031269073486
wait,-3.60066294670105
no,-3.39009952545166
wait,-3.5385046005249023
no,-3.4554357528686523
wait,-3.543912172317505
no,-3.328187942504883
wait,-3.498145580291748
no,-3.559032917022705
wait,-3.628129243850708
no,-3.4308199882507324
wait,-3.5498790740966797
no,-3.544405937194824
wait,-3.614992141723633
no,-3.455345392227173
