header,score
no,-3.657029867172241
wait,-3.8268420696258545
no,-3.562016487121582
wait,-3.7104084491729736
no,-3.6465234756469727
wait,-3.8076229095458984
no,-3.6002674102783203
wait,-3.736722230911255
no,-3.7160751819610596
wait,-3.9399685859680176
no,-3.601499557495117
wait,-3.8019187450408936
no,-3.6124022006988525
wait,-3.7748799324035645
no,-3.5721983909606934
wait,-3.713005781173706
no,-3.803612470626831
wait,-4.035200595855713
no,-3.6697447299957275
wait,-3.9592578411102295
no,-3.6988401412963867
wait,-3.8715779781341553
no,-3.633814811706543
wait,-3.7801513671875
no,-3.6408650875091553
wait,-3.7942054271698
no,-3.6015207767486572
wait,-3.713181972503662
no,-3.7299106121063232
wait,-3.940645456314087
no,-3.5869345664978027
wait,-3.830228090286255
no,-3.6764965057373047
wait,-3.8994932174682617
no,-3.536235809326172
wait,-3.775308847427368
no,-3.7351555824279785
wait,-3.9382636547088623
no,-3.5814781188964844
wait,-3.8537161350250244
no,-3.567898750305176
wait,-3.7332613468170166
no,-3.4919917583465576
wait,-3.702446222305298
no,-3.604949951171875
wait,-3.7474257946014404
no,-3.5162851810455322
wait,-3.6952064037323
no,-3.5777432918548584
wait,-3.775514841079712
no,-3.537118434906006
wait,-3.7702701091766357
no,-3.610701322555542
wait,-3.770592212677002
no,-3.539532423019409
wait,-3.732168436050415
no,-3.7195441722869873
wait,-3.735582113265991
no,-3.6598587036132812
wait,-3.793712615966797
no,-3.700040578842163
wait,-3.7867298126220703
no,-3.6738903522491455
wait,-3.763800859451294
no,-3.616013526916504
wait,-3.7900798320770264
no,-3.540775775909424
wait,-3.720539093017578
no,-3.6972198486328125
wait,-3.7899107933044434
no,-3.6114890575408936
wait,-3.707858085632324
no,-3.801595449447632
wait,-3.8366594314575195
no,-3.713740110397339
wait,-3.813037872314453
no,-3.854705333709717
wait,-3.8699283599853516
no,-3.7650959491729736
wait,-3.7918052673339844
no,-3.461883068084717
wait,-3.672755718231201
no,-3.5922513008117676
wait,-3.729644536972046
no,-3.3419764041900635
wait,-3.669429302215576
no,-3.400594711303711
wait,-3.6994309425354004
no,-3.4826371669769287
wait,-3.6491663455963135
no,-3.567490816116333
wait,-3.6921191215515137
no,-3.458411455154419
wait,-3.6328439712524414
no,-3.5339763164520264
wait,-3.645444631576538
no,-3.473755121231079
wait,-3.705554246902466
no,-3.6006574630737305
wait,-3.7528629302978516
no,-3.5586628913879395
wait,-3.758941888809204
no,-3.6778812408447266
wait,-3.7704503536224365
no,-3.4818198680877686
wait,-3.6005842685699463
no,-3.645643949508667
wait,-3.661364793777466
no,-3.480879068374634
wait,-3.659660577774048
no,-3.552737236022949
wait,-3.6645662784576416
no,-3.458293914794922
wait,-3.62380051612854
no,-3.5244767665863037
wait,-3.624802589416504
no,-3.485656261444092
wait,-3.563873529434204
no,-3.6716318130493164
wait,-3.683567762374878
no,-3.3993208408355713
wait,-3.5717053413391113
no,-3.314570188522339
wait,-3.4981565475463867
no,-3.3732852935791016
wait,-3.5865702629089355
no,-3.294124126434326
wait,-3.5523054599761963
no,-3.4386961460113525
wait,-3.5673348903656006
no,-3.390573740005493
wait,-3.5306947231292725
no,-3.4455196857452393
wait,-3.6338014602661133
