header,score
no,-2.991093873977661
wait,-3.100057363510132
no,-2.812680244445801
wait,-3.013105630874634
no,-3.119452953338623
wait,-3.214962959289551
no,-2.969935894012451
wait,-3.1380434036254883
no,-3.011502265930176
wait,-3.1546974182128906
no,-2.8384807109832764
wait,-3.051645278930664
no,-3.0698864459991455
wait,-3.1908562183380127
no,-2.8957276344299316
wait,-3.1021857261657715
no,-3.0341150760650635
wait,-3.232938051223755
no,-2.913184642791748
wait,-3.16481351852417
no,-3.066502332687378
wait,-3.1966609954833984
no,-2.909288167953491
wait,-3.095569610595703
no,-3.2016167640686035
wait,-3.3490240573883057
no,-3.017763614654541
wait,-3.245331287384033
no,-3.2262074947357178
wait,-3.34206485748291
no,-3.0630247592926025
wait,-3.2454943656921387
no,-3.1881089210510254
wait,-3.313612937927246
no,-3.0537312030792236
wait,-3.2329084873199463
no,-3.460702419281006
wait,-3.5682315826416016
no,-3.308476209640503
wait,-3.5056700706481934
no,-2.671433925628662
wait,-2.8002843856811523
no,-2.5759334564208984
wait,-2.676166534423828
no,-2.7553293704986572
wait,-3.012481212615967
no,-2.694437026977539
wait,-2.8910980224609375
no,-2.757146120071411
wait,-2.8915157318115234
no,-2.6588666439056396
wait,-2.769821882247925
no,-2.9532036781311035
wait,-3.050967216491699
no,-2.8132808208465576
wait,-2.9411120414733887
no,-2.8266992568969727
wait,-2.996734142303467
no,-2.7574949264526367
wait,-2.8818886280059814
no,-2.931340456008911
wait,-3.1494696140289307
no,-2.832627296447754
wait,-3.0082201957702637
no,-2.9480714797973633
wait,-3.173905372619629
no,-2.8592326641082764
wait,-3.047337770462036
no,-2.972853899002075
wait,-3.1250298023223877
no,-2.837434768676758
wait,-2.97489857673645
no,-3.0173537731170654
wait,-3.1659581661224365
no,-2.8603715896606445
wait,-3.0103087425231934
no,-3.062781572341919
wait,-3.207075834274292
no,-2.9025471210479736
wait,-3.0472562313079834
no,-2.4323465824127197
wait,-2.656482219696045
no,-2.448422908782959
wait,-2.685863494873047
no,-2.6185660362243652
wait,-2.8048722743988037
no,-2.602520704269409
wait,-2.814436197280884
no,-2.6120190620422363
wait,-2.815039873123169
no,-2.626117706298828
wait,-2.869194746017456
no,-2.7202706336975098
wait,-2.908132314682007
no,-2.6656270027160645
wait,-2.900258779525757
no,-2.7056596279144287
wait,-2.9138801097869873
no,-2.7302494049072266
wait,-2.951467990875244
no,-2.654897451400757
wait,-2.840702533721924
no,-2.680962324142456
wait,-2.9040892124176025
no,-2.683166265487671
wait,-2.9184532165527344
no,-2.720522403717041
wait,-2.9602315425872803
no,-2.7315661907196045
wait,-2.934152364730835
no,-2.7414913177490234
wait,-2.9592766761779785
no,-2.770766019821167
wait,-2.9199061393737793
no,-2.777089834213257
wait,-2.9462480545043945
no,-2.7637336254119873
wait,-2.9978036880493164
no,-2.7866051197052
wait,-3.0501627922058105
no,-2.9360508918762207
wait,-3.167733669281006
no,-2.915193796157837
wait,-3.1841063499450684
no,-3.1072299480438232
wait,-3.34250807762146
no,-3.036381959915161
wait,-3.314268112182617
no,-3.106102466583252
wait,-3.3983547687530518
no,-3.0115878582000732
wait,-3.350337505340576
no,-3.0984857082366943
wait,-3.319277286529541
no,-3.05519437789917
wait,-3.2683207988739014
no,-3.1441736221313477
wait,-3.378272533416748
no,-3.0880863666534424
wait,-3.3527116775512695
no,-3.1071360111236572
wait,-3.2979564666748047
no,-3.098522186279297
wait,-3.270681619644165
no,-3.3727190494537354
wait,-3.4972522258758545
no,-3.3132588863372803
wait,-3.4585330486297607
no,-3.2024481296539307
wait,-3.36598801612854
no,-3.143523693084717
wait,-3.3479249477386475
no,-3.198827028274536
wait,-3.3753762245178223
no,-3.2162086963653564
wait,-3.3803582191467285
no,-3.138838052749634
wait,-3.3210856914520264
no,-3.086392402648926
wait,-3.2991490364074707
no,-2.8212311267852783
wait,-2.966376304626465
no,-2.7002038955688477
wait,-2.8238918781280518
no,-2.3723835945129395
wait,-2.545442581176758
no,-2.274711847305298
wait,-2.452627182006836
no,-2.365492820739746
wait,-2.567505359649658
no,-2.303873062133789
wait,-2.4973416328430176
no,-2.4856388568878174
wait,-2.727729082107544
no,-2.4520483016967773
wait,-2.6502182483673096
no,-2.6041910648345947
wait,-2.697042226791382
