header,score
no,-4.997761249542236
wait,-5.244736194610596
no,-4.945387840270996
wait,-5.156012058258057
no,-4.938716411590576
wait,-5.1136651039123535
no,-4.94485330581665
wait,-5.02166748046875
no,-5.015995979309082
wait,-5.117317199707031
no,-4.962273597717285
wait,-5.0193634033203125
no,-5.061361789703369
wait,-5.247168064117432
no,-5.03964376449585
wait,-5.168788433074951
no,-5.086167812347412
wait,-5.414542198181152
no,-5.072779178619385
wait,-5.3332037925720215
no,-4.969879627227783
wait,-5.197962760925293
no,-4.942409992218018
wait,-5.079491138458252
no,-5.076202392578125
wait,-5.242958068847656
no,-5.009387969970703
wait,-5.1324992179870605
no,-5.1636857986450195
wait,-5.347082614898682
no,-5.022244930267334
wait,-5.186567306518555
no,-5.0404744148254395
wait,-5.230823516845703
no,-5.043949604034424
wait,-5.14924430847168
no,-5.062595367431641
wait,-5.265099048614502
no,-5.018736362457275
wait,-5.122774600982666
no,-4.935878276824951
wait,-4.817498683929443
no,-4.711876392364502
wait,-4.724145412445068
no,-4.948643684387207
wait,-4.909544944763184
no,-4.738831996917725
wait,-4.802917957305908
no,-4.9827094078063965
wait,-4.878533840179443
no,-4.746692657470703
wait,-4.750703811645508
no,-5.058435440063477
wait,-4.932548999786377
no,-4.821106433868408
wait,-4.798271179199219
no,-5.011080265045166
wait,-5.092491626739502
no,-4.797928333282471
wait,-4.788404941558838
no,-5.048594951629639
wait,-5.045316696166992
no,-4.8729143142700195
wait,-4.873712539672852
no,-5.0645904541015625
wait,-5.076550006866455
no,-4.878652572631836
wait,-4.877103805541992
no,-5.079372882843018
wait,-5.093382835388184
no,-4.898263931274414
wait,-5.016030311584473
no,-5.096582889556885
wait,-5.197847843170166
no,-4.992897987365723
wait,-5.082276344299316
no,-5.329798698425293
wait,-5.282111167907715
no,-5.021371841430664
wait,-5.04230260848999
no,-5.094045162200928
wait,-5.090830326080322
no,-4.985910415649414
wait,-5.054203033447266
no,-5.025289058685303
wait,-5.058358669281006
no,-5.042412757873535
wait,-5.083024978637695
no,-5.014520645141602
wait,-4.966569900512695
no,-4.9629411697387695
wait,-4.951859951019287
no,-5.0435638427734375
wait,-5.089620113372803
no,-4.994414806365967
wait,-5.017196178436279
no,-5.044973850250244
wait,-5.083314895629883
no,-4.9782023429870605
wait,-5.014138698577881
no,-5.181777000427246
wait,-5.215664863586426
no,-5.081351280212402
wait,-5.178112983703613
no,-5.149014949798584
wait,-5.182514190673828
no,-5.078052520751953
wait,-5.125050067901611
no,-5.212869644165039
wait,-5.191314697265625
no,-5.237607479095459
wait,-5.249033451080322
no,-5.16184139251709
wait,-5.244095325469971
no,-5.0839924812316895
wait,-5.194354057312012
no,-5.231293678283691
wait,-5.1655097007751465
no,-5.135270118713379
wait,-5.126269817352295
no,-4.98167610168457
wait,-4.860347747802734
no,-4.6666669845581055
wait,-4.721620082855225
no,-5.068423271179199
wait,-5.190819263458252
no,-4.898473739624023
wait,-5.206289291381836
no,-4.979969024658203
wait,-4.983059406280518
no,-4.8303985595703125
wait,-4.947286128997803
no,-5.112910747528076
wait,-5.056884765625
no,-4.8328375816345215
wait,-4.924723148345947
no,-5.207695007324219
wait,-5.324367046356201
no,-4.964047908782959
wait,-5.0992913246154785
no,-5.494997978210449
wait,-5.618904113769531
no,-5.158493518829346
wait,-5.410147190093994
no,-5.131872653961182
wait,-5.36237907409668
no,-5.027157783508301
wait,-5.227011203765869
no,-5.5205159187316895
wait,-5.65722131729126
no,-5.170464992523193
wait,-5.4456467628479
no,-5.292999744415283
wait,-5.37546443939209
no,-5.044116497039795
wait,-5.350011825561523
no,-5.3483357429504395
wait,-5.530967712402344
no,-5.098248481750488
wait,-5.360659122467041
no,-4.992782115936279
wait,-4.884527206420898
no,-4.83308744430542
wait,-4.909170150756836
no,-5.04800271987915
wait,-4.905866622924805
no,-4.8248982429504395
wait,-4.88345193862915
no,-5.0831475257873535
wait,-5.019198417663574
no,-4.916487216949463
wait,-4.950782775878906
no,-5.1812543869018555
wait,-5.042155742645264
no,-4.935253620147705
wait,-4.932819366455078
no,-5.147343158721924
wait,-5.024937629699707
no,-4.947415828704834
wait,-4.978811740875244
no,-5.218844890594482
wait,-5.083592414855957
no,-4.9745283126831055
wait,-5.009410858154297
no,-5.053105354309082
wait,-4.982471942901611
no,-4.945464611053467
wait,-5.022678375244141
no,-5.082361221313477
wait,-4.953380584716797
no,-4.952972888946533
wait,-4.988994598388672
no,-5.177330493927002
wait,-5.117537975311279
no,-4.975315570831299
wait,-5.021928787231445
no,-5.180907249450684
wait,-5.054099082946777
no,-4.941283226013184
wait,-5.0385332107543945
no,-5.190135955810547
wait,-5.259655952453613
no,-5.031946659088135
wait,-5.04574728012085
no,-5.242889881134033
wait,-5.32846736907959
no,-5.084550857543945
wait,-5.129477500915527
no,-5.274249076843262
wait,-5.14280891418457
no,-5.093291282653809
wait,-4.990035057067871
no,-5.274249076843262
wait,-5.14280891418457
no,-5.093291282653809
wait,-4.990035057067871
no,-5.240321636199951
wait,-5.157320499420166
no,-5.106144428253174
wait,-5.043903350830078
no,-5.268931865692139
wait,-5.149151802062988
no,-5.096848011016846
wait,-4.991276264190674
no,-5.268931865692139
wait,-5.149151802062988
no,-5.096848011016846
wait,-4.991276264190674
no,-5.349160671234131
wait,-5.42225980758667
no,-5.224686622619629
wait,-5.2703142166137695
no,-5.243905067443848
wait,-5.157351970672607
no,-5.116045951843262
wait,-5.035726547241211
no,-5.243905067443848
wait,-5.157351970672607
no,-5.116045951843262
wait,-5.035726547241211
no,-5.235544681549072
wait,-5.363528728485107
no,-5.045197486877441
wait,-5.138861179351807
no,-5.237655162811279
wait,-5.362020969390869
no,-5.060268402099609
wait,-5.169468879699707
no,-5.142703533172607
wait,-5.1868205070495605
no,-4.827807426452637
wait,-4.908785820007324
no,-5.199723720550537
wait,-5.3281378746032715
no,-4.997169494628906
wait,-5.148556232452393
no,-5.199723720550537
wait,-5.3281378746032715
no,-4.997169494628906
wait,-5.148556232452393
no,-5.1530256271362305
wait,-5.142434120178223
no,-4.937963008880615
wait,-4.985774040222168
no,-5.299988746643066
wait,-5.363291263580322
no,-5.0598626136779785
wait,-5.091904163360596
no,-5.299988746643066
wait,-5.363291263580322
no,-5.0598626136779785
wait,-5.091904163360596
no,-5.418708801269531
wait,-5.494645118713379
no,-5.156310558319092
wait,-5.341567516326904
no,-5.440654754638672
wait,-5.338608264923096
no,-5.075403213500977
wait,-5.073210716247559
no,-4.8579840660095215
wait,-4.890029430389404
no,-4.896562099456787
wait,-4.88425874710083
no,-4.846310138702393
wait,-4.900274753570557
no,-4.8678998947143555
wait,-4.868448734283447
no,-4.846738338470459
wait,-4.9003376960754395
no,-4.865400791168213
wait,-4.867611885070801
no,-5.098461627960205
wait,-5.14331579208374
no,-4.898587226867676
wait,-4.98613977432251
no,-5.036422252655029
wait,-4.92691707611084
no,-4.908918380737305
wait,-4.86737060546875
no,-5.03465461730957
wait,-4.928741455078125
no,-4.911709308624268
wait,-4.914822101593018
no,-4.875357627868652
wait,-4.953096866607666
no,-4.941261291503906
wait,-4.9712700843811035
no,-4.935906887054443
wait,-4.9602789878845215
no,-4.994816303253174
wait,-4.9892897605896
no,-5.089120388031006
wait,-4.968287944793701
no,-5.0106940269470215
wait,-4.967018127441406
no,-5.10872745513916
wait,-5.114064693450928
no,-5.112666606903076
wait,-5.073939323425293
no,-5.101012706756592
wait,-5.03891134262085
no,-4.722286224365234
wait,-4.752416610717773
no,-5.246240139007568
wait,-5.2173686027526855
no,-4.8202009201049805
wait,-4.9000468254089355
no,-5.35646915435791
wait,-5.268904685974121
no,-4.926082134246826
wait,-5.020400047302246
no,-5.307620048522949
wait,-5.302130222320557
no,-4.896671295166016
wait,-4.887006759643555
no,-5.280023574829102
wait,-5.502444744110107
no,-5.005293846130371
wait,-5.162651062011719
no,-5.400786399841309
wait,-5.499539375305176
no,-5.037762641906738
wait,-5.168044090270996
no,-5.333469867706299
wait,-5.284082889556885
no,-4.8829803466796875
wait,-5.008106708526611
no,-5.506251811981201
wait,-5.461364269256592
no,-5.0923309326171875
wait,-5.241837501525879
no,-5.335485935211182
wait,-5.259331226348877
no,-4.988576412200928
wait,-4.973987579345703
no,-5.374490737915039
wait,-5.362092018127441
no,-4.937413215637207
wait,-5.102522850036621
no,-4.839728355407715
wait,-4.9929094314575195
no,-4.88715124130249
wait,-5.004771709442139
no,-4.860326766967773
wait,-5.015618324279785
no,-4.920992374420166
wait,-5.030973434448242
no,-4.9118242263793945
wait,-5.120330810546875
no,-4.909260272979736
wait,-5.099872589111328
no,-4.9490814208984375
wait,-5.118372440338135
no,-5.043633937835693
wait,-5.079720497131348
no,-4.948033332824707
wait,-5.072092533111572
no,-5.028719425201416
wait,-5.114192008972168
no,-5.167062282562256
wait,-5.441498756408691
no,-5.19783353805542
wait,-5.467299938201904
no,-5.1321916580200195
wait,-5.46306037902832
no,-5.2065653800964355
wait,-5.412673473358154
no,-5.1504669189453125
wait,-5.4919209480285645
no,-5.2276930809021
wait,-5.438584327697754
no,-5.051581382751465
wait,-5.102412223815918
no,-5.117676734924316
wait,-5.075588703155518
no,-5.051138877868652
wait,-5.123437881469727
no,-5.126007080078125
wait,-5.127334117889404
no,-4.32774019241333
wait,-4.412714958190918
no,-4.345978736877441
wait,-4.267392158508301
no,-4.508754730224609
wait,-4.503174304962158
no,-4.535172939300537
wait,-4.444141387939453
no,-4.508754730224609
wait,-4.503174304962158
no,-4.535172939300537
wait,-4.444141387939453
no,-4.35875940322876
wait,-4.398283958435059
no,-4.3501482009887695
wait,-4.233953475952148
no,-4.444268703460693
