header,score
no,-3.9005887508392334
wait,-3.99678111076355
no,-3.7572145462036133
wait,-3.848139524459839
no,-3.942574977874756
wait,-4.0654215812683105
no,-3.8133652210235596
wait,-3.951397657394409
no,-4.028249263763428
wait,-4.143052101135254
no,-3.885164737701416
wait,-4.021529674530029
no,-3.9789552688598633
wait,-4.092465400695801
no,-3.8264315128326416
wait,-3.961404800415039
no,-4.026373386383057
wait,-4.151926517486572
no,-3.8909904956817627
wait,-3.9843826293945312
no,-4.002890110015869
wait,-4.130570411682129
no,-3.846928596496582
wait,-3.9756240844726562
no,-4.038943767547607
wait,-4.155031681060791
no,-3.8742547035217285
wait,-3.9937503337860107
no,-4.012632369995117
wait,-4.1435041427612305
no,-3.8578076362609863
wait,-4.004702568054199
no,-4.082729816436768
wait,-4.223919868469238
no,-3.8831841945648193
wait,-4.051098823547363
no,-4.177980422973633
wait,-4.298831462860107
no,-3.927112102508545
wait,-4.054976940155029
no,-3.687810182571411
wait,-3.807744264602661
no,-3.6085691452026367
wait,-3.749607563018799
no,-3.795124053955078
wait,-3.928366184234619
no,-3.7148687839508057
wait,-3.863859176635742
no,-3.9253461360931396
wait,-4.040589809417725
no,-3.805053472518921
wait,-3.9507761001586914
no,-3.920841693878174
wait,-4.050376892089844
no,-3.860795736312866
wait,-3.9992456436157227
no,-3.8427610397338867
wait,-3.889692783355713
no,-3.8251352310180664
wait,-3.897986888885498
no,-3.9471051692962646
wait,-4.057044982910156
no,-3.8328492641448975
wait,-3.967043399810791
no,-3.933866024017334
wait,-4.024288654327393
no,-3.8449032306671143
wait,-3.949390411376953
no,-3.9135208129882812
wait,-4.089123725891113
no,-3.8652665615081787
wait,-4.0383758544921875
no,-4.014737606048584
wait,-4.086179733276367
no,-3.852201223373413
wait,-3.983017921447754
no,-3.9225521087646484
wait,-4.082263469696045
no,-3.868821620941162
wait,-4.039381980895996
no,-3.5450239181518555
wait,-3.6347641944885254
no,-3.5729432106018066
wait,-3.691431760787964
no,-3.555267572402954
wait,-3.6738579273223877
no,-3.6039435863494873
wait,-3.767838478088379
no,-3.735548973083496
wait,-3.8350210189819336
no,-3.770862579345703
wait,-3.907562494277954
no,-3.6965115070343018
wait,-3.811297655105591
no,-3.7231621742248535
wait,-3.8589890003204346
no,-3.697495460510254
wait,-3.8310155868530273
no,-3.7075843811035156
wait,-3.8593850135803223
no,-3.757829427719116
wait,-3.854839563369751
no,-3.7605345249176025
wait,-3.913729667663574
no,-3.6711747646331787
wait,-3.8118882179260254
no,-3.7372193336486816
wait,-3.879960060119629
no,-3.767280340194702
wait,-3.82955002784729
no,-3.8296873569488525
wait,-3.9388396739959717
no,-3.728276014328003
wait,-3.8271923065185547
no,-3.7574524879455566
wait,-3.8639674186706543
no,-3.82833194732666
wait,-3.8902814388275146
no,-3.8038525581359863
wait,-3.914919853210449
no,-3.8291807174682617
wait,-3.9456093311309814
no,-3.7979788780212402
wait,-3.94002366065979
no,-3.86773681640625
wait,-3.993767023086548
no,-3.8168132305145264
wait,-3.9456872940063477
no,-3.8644144535064697
wait,-3.9218480587005615
no,-3.8232524394989014
wait,-3.9035747051239014
no,-3.9319512844085693
wait,-4.08267879486084
no,-3.9035048484802246
wait,-4.077437877655029
no,-3.9624154567718506
wait,-4.112651824951172
no,-3.9289238452911377
wait,-4.102885723114014
no,-3.9933643341064453
wait,-4.117240905761719
no,-3.9553511142730713
wait,-4.0702338218688965
no,-4.01343297958374
wait,-4.134650707244873
no,-3.9992423057556152
wait,-4.134820461273193
no,-3.8904001712799072
wait,-4.013965606689453
no,-3.8824918270111084
wait,-4.02079963684082
no,-4.016819953918457
wait,-4.144322872161865
no,-4.005403995513916
wait,-4.118605136871338
no,-4.056407451629639
wait,-4.162352085113525
no,-4.042093753814697
wait,-4.161288738250732
no,-3.698629379272461
wait,-3.8192930221557617
no,-3.600637912750244
wait,-3.705918312072754
no,-3.9379019737243652
wait,-4.039016246795654
no,-3.809720516204834
wait,-3.907620429992676
no,-3.9349617958068848
wait,-4.048423767089844
no,-3.838794469833374
wait,-3.923029661178589
no,-3.8243331909179688
wait,-3.891089916229248
no,-3.754063367843628
wait,-3.7748987674713135
no,-3.9131507873535156
wait,-4.040672302246094
no,-3.836951494216919
wait,-3.9330713748931885
no,-3.967038631439209
wait,-3.9966392517089844
no,-3.817507028579712
wait,-3.855829954147339
no,-3.9205405712127686
wait,-4.080283164978027
no,-3.836893081665039
wait,-3.976898670196533
no,-3.9954442977905273
wait,-4.071331977844238
no,-3.8852758407592773
wait,-3.9595799446105957
no,-4.025629997253418
wait,-4.04964542388916
no,-3.8841843605041504
wait,-3.914401054382324
no,-3.939772367477417
wait,-4.070117473602295
no,-3.858013153076172
wait,-3.949845314025879
no,-3.764403820037842
wait,-3.8827261924743652
no,-3.846766471862793
wait,-3.9215264320373535
no,-3.759263515472412
wait,-3.9141151905059814
no,-3.810547351837158
wait,-3.93841552734375
no,-3.8997116088867188
wait,-4.038506031036377
no,-3.8847126960754395
wait,-4.039295196533203
no,-3.8242123126983643
wait,-3.9431347846984863
no,-3.8917417526245117
wait,-3.9847865104675293
no,-3.933459758758545
wait,-4.073220252990723
no,-3.9190335273742676
wait,-4.073210716247559
no,-3.774944305419922
wait,-3.8669955730438232
no,-3.8633785247802734
wait,-3.927293539047241
no,-3.8710262775421143
wait,-4.009551048278809
no,-3.896207094192505
wait,-4.038890361785889
no,-3.889472007751465
wait,-4.041991233825684
no,-3.9488677978515625
wait,-4.079641819000244
no,-4.004531383514404
wait,-4.117095470428467
no,-3.9741172790527344
wait,-4.123716831207275
no,-4.042776584625244
wait,-4.103996276855469
no,-4.008310794830322
wait,-4.108044147491455
no,-3.9495155811309814
wait,-4.0422186851501465
no,-3.898831844329834
wait,-4.010983943939209
no,-3.990483522415161
wait,-4.075732231140137
no,-3.931842088699341
wait,-4.041865825653076
no,-4.072874546051025
wait,-4.209667682647705
no,-3.9634268283843994
wait,-4.099218845367432
no,-3.9865355491638184
wait,-4.009779930114746
no,-3.9274086952209473
wait,-3.9607691764831543
no,-4.08790922164917
wait,-4.178104877471924
no,-3.9965457916259766
wait,-4.122619152069092
no,-4.113499164581299
wait,-4.247584342956543
no,-4.003185749053955
wait,-4.140186309814453
no,-4.157847881317139
wait,-4.263061046600342
no,-4.087978839874268
wait,-4.228308200836182
no,-4.118923664093018
wait,-4.2579474449157715
no,-4.0457563400268555
wait,-4.1699910163879395
no,-4.076301574707031
wait,-4.21174955368042
no,-4.040841102600098
wait,-4.16369104385376
no,-4.207587718963623
wait,-4.291840076446533
no,-4.091255187988281
wait,-4.2229790687561035
no,-4.007620811462402
wait,-4.12410831451416
no,-3.972679615020752
wait,-4.062549591064453
no,-4.062434673309326
wait,-4.197093486785889
no,-4.026913166046143
wait,-4.133879661560059
no,-4.077844142913818
wait,-4.165114402770996
no,-4.06674861907959
wait,-4.122142314910889
no,-4.0936784744262695
wait,-4.229496479034424
no,-4.070974349975586
wait,-4.187971591949463
no,-4.110556125640869
wait,-4.235874652862549
no,-4.095074653625488
wait,-4.192385673522949
no,-4.105481147766113
wait,-4.216070175170898
no,-4.092010021209717
wait,-4.167163848876953
no,-4.096378326416016
wait,-4.206759452819824
no,-4.0645341873168945
wait,-4.149084091186523
no,-4.17327880859375
wait,-4.261038780212402
no,-4.169809341430664
wait,-4.2224578857421875
no,-4.160754680633545
wait,-4.303295612335205
no,-4.1149067878723145
wait,-4.246048927307129
no,-4.1096367835998535
wait,-4.200403213500977
no,-4.153591156005859
wait,-4.2038798332214355
