header,score
no,-3.2869954109191895
wait,-3.4460697174072266
no,-3.0973167419433594
wait,-3.2674882411956787
no,-3.2049052715301514
wait,-3.368802070617676
no,-3.0401241779327393
wait,-3.177737236022949
no,-3.1798441410064697
wait,-3.3415138721466064
no,-3.0067875385284424
wait,-3.176981210708618
no,-3.2307839393615723
wait,-3.3995230197906494
no,-3.0698390007019043
wait,-3.2097971439361572
no,-3.317821741104126
wait,-3.470270872116089
no,-3.1536171436309814
wait,-3.311744213104248
no,-3.3063769340515137
wait,-3.4740488529205322
no,-3.128535509109497
wait,-3.306447982788086
no,-3.3497650623321533
wait,-3.468470335006714
no,-3.209477424621582
wait,-3.3391294479370117
no,-3.4010462760925293
wait,-3.549300193786621
no,-3.2635157108306885
wait,-3.428399085998535
no,-3.3310930728912354
wait,-3.4792158603668213
no,-3.1762478351593018
wait,-3.3494012355804443
no,-3.4956839084625244
wait,-3.7011845111846924
no,-3.291632652282715
wait,-3.52980637550354
no,-2.687868595123291
wait,-2.9048781394958496
no,-2.6312286853790283
wait,-2.8775877952575684
no,-2.903289318084717
wait,-3.128117084503174
no,-2.8570947647094727
wait,-3.0919573307037354
no,-2.705503225326538
wait,-2.903883457183838
no,-2.663072347640991
wait,-2.8832058906555176
no,-2.9820289611816406
wait,-3.1556177139282227
no,-2.9029219150543213
wait,-3.1069374084472656
no,-3.0103349685668945
wait,-3.2462072372436523
no,-2.9692490100860596
wait,-3.2264487743377686
no,-2.891314744949341
wait,-3.0956971645355225
no,-2.8453173637390137
wait,-3.0639801025390625
no,-2.934180498123169
wait,-3.135178327560425
no,-2.8652384281158447
wait,-3.0590078830718994
no,-2.9031145572662354
wait,-3.051042318344116
no,-2.842848539352417
wait,-3.004451036453247
no,-2.897324800491333
wait,-3.0758056640625
no,-2.860511541366577
wait,-3.0700759887695312
no,-2.889103651046753
wait,-3.0538816452026367
no,-2.8818955421447754
wait,-3.0353152751922607
no,-2.573073625564575
wait,-2.8028602600097656
no,-2.5139904022216797
wait,-2.7979867458343506
no,-2.7066104412078857
wait,-2.9386074542999268
no,-2.6960721015930176
wait,-2.9412593841552734
no,-2.7097926139831543
wait,-2.925738573074341
no,-2.663409471511841
wait,-2.9349682331085205
no,-2.631295680999756
wait,-2.8724164962768555
no,-2.61224627494812
wait,-2.8625266551971436
no,-2.986844062805176
wait,-3.260634422302246
no,-2.947455883026123
wait,-3.2371985912323
no,-2.620480537414551
wait,-2.8304479122161865
no,-2.591684103012085
wait,-2.8245387077331543
no,-2.7225842475891113
wait,-2.980496406555176
no,-2.6735661029815674
wait,-2.980465888977051
no,-2.694377899169922
wait,-2.933047294616699
no,-2.65812087059021
wait,-2.920457124710083
no,-2.795940399169922
wait,-3.0915310382843018
no,-2.758826494216919
wait,-3.079294204711914
no,-2.8471741676330566
wait,-3.1049695014953613
no,-2.8046748638153076
wait,-3.095503807067871
no,-3.0048699378967285
wait,-3.2796871662139893
no,-2.925772190093994
wait,-3.1975533962249756
no,-3.2701807022094727
wait,-3.401752233505249
no,-3.183811664581299
wait,-3.343844175338745
no,-3.2014081478118896
wait,-3.397974729537964
no,-3.1506123542785645
wait,-3.337474822998047
no,-3.0873823165893555
wait,-3.386780261993408
no,-3.027127265930176
wait,-3.309823513031006
no,-3.225522041320801
wait,-3.4733455181121826
no,-3.131294012069702
wait,-3.377009153366089
no,-3.2491824626922607
wait,-3.49855375289917
no,-3.1841347217559814
wait,-3.41896653175354
no,-3.228708505630493
wait,-3.424745798110962
no,-3.191518545150757
wait,-3.3766136169433594
no,-3.20339298248291
wait,-3.4840595722198486
no,-3.1426713466644287
wait,-3.4075372219085693
no,-3.2296195030212402
wait,-3.4662060737609863
no,-3.1441683769226074
wait,-3.392892599105835
no,-3.263434410095215
wait,-3.552945375442505
no,-3.1991453170776367
wait,-3.507737874984741
no,-2.456918478012085
wait,-2.617337942123413
no,-2.395172119140625
wait,-2.5820624828338623
no,-2.5882089138031006
wait,-2.7568857669830322
no,-2.5250468254089355
wait,-2.6905810832977295
no,-2.6132047176361084
wait,-2.783695936203003
no,-2.4686026573181152
wait,-2.704801559448242
no,-2.7530357837677
wait,-2.8777692317962646
no,-2.670938730239868
wait,-2.810271739959717
no,-2.543713331222534
wait,-2.7238354682922363
no,-2.504171848297119
wait,-2.6904892921447754
no,-2.670707941055298
wait,-2.844007730484009
no,-2.6166951656341553
wait,-2.7956626415252686
no,-2.6185033321380615
wait,-2.642634630203247
no,-2.503525733947754
wait,-2.5702922344207764
no,-2.731881856918335
wait,-2.866037368774414
no,-2.591843605041504
wait,-2.756115436553955
