header,score
no,-2.867781162261963
wait,-3.008942127227783
no,-2.7966222763061523
wait,-2.9379231929779053
no,-2.9611713886260986
wait,-3.0799412727355957
no,-2.8344788551330566
wait,-2.947608470916748
no,-3.2407212257385254
wait,-3.3822097778320312
no,-3.1481058597564697
wait,-3.3070554733276367
no,-3.063408136367798
wait,-3.1731600761413574
no,-2.9523465633392334
wait,-3.0840797424316406
no,-3.025324583053589
wait,-3.1867284774780273
no,-2.9013547897338867
wait,-3.081557512283325
no,-3.1205427646636963
wait,-3.310593366622925
no,-2.9256956577301025
wait,-3.121914863586426
no,-3.0003390312194824
wait,-3.12469482421875
no,-2.9276583194732666
wait,-3.0530717372894287
no,-3.088984727859497
wait,-3.1877970695495605
no,-2.957465648651123
wait,-3.0614285469055176
no,-3.120727300643921
wait,-3.2789700031280518
no,-3.011702537536621
wait,-3.169254779815674
no,-3.1413750648498535
wait,-3.329472780227661
no,-3.0180823802948
wait,-3.2110230922698975
no,-2.8853867053985596
wait,-3.0021069049835205
no,-2.7738850116729736
wait,-2.9368176460266113
no,-2.695627212524414
wait,-3.0183870792388916
no,-2.6848840713500977
wait,-2.993654727935791
no,-3.078852891921997
wait,-3.161296844482422
no,-2.9515419006347656
wait,-3.083632469177246
no,-2.8391244411468506
wait,-3.0126090049743652
no,-2.7453224658966064
wait,-3.002641439437866
no,-2.8912203311920166
wait,-2.8904073238372803
no,-2.7262957096099854
wait,-2.82900333404541
no,-2.8966221809387207
wait,-2.987283706665039
no,-2.7739710807800293
wait,-2.946188449859619
no,-2.9366884231567383
wait,-3.04636549949646
no,-2.84279727935791
wait,-2.9689230918884277
no,-2.9072976112365723
wait,-3.040538787841797
no,-2.8025918006896973
wait,-3.0057246685028076
no,-3.0301101207733154
wait,-3.208102226257324
no,-2.903625011444092
wait,-3.190002679824829
no,-2.95998477935791
wait,-3.0733211040496826
no,-2.847459077835083
wait,-3.031977653503418
no,-2.302748203277588
wait,-2.49005126953125
no,-2.3948733806610107
wait,-2.5809133052825928
no,-2.310575246810913
wait,-2.426283121109009
no,-2.4081735610961914
wait,-2.538468599319458
no,-2.3699898719787598
wait,-2.453770160675049
no,-2.4622864723205566
wait,-2.570829153060913
no,-2.4174981117248535
wait,-2.5041158199310303
no,-2.5193371772766113
wait,-2.5823371410369873
no,-2.6154940128326416
wait,-2.703908681869507
no,-2.690565586090088
wait,-2.7690582275390625
no,-2.591120958328247
wait,-2.701143741607666
no,-2.669734239578247
wait,-2.770979404449463
no,-2.5694468021392822
wait,-2.628756046295166
no,-2.7019474506378174
wait,-2.747901439666748
no,-2.5460448265075684
wait,-2.634822130203247
no,-2.6422383785247803
wait,-2.711561441421509
no,-2.497511386871338
wait,-2.5873591899871826
no,-2.6284284591674805
wait,-2.6961638927459717
no,-2.7475931644439697
wait,-2.844984292984009
no,-2.8622217178344727
wait,-2.984910249710083
no,-2.5794970989227295
wait,-2.7301154136657715
no,-2.4846277236938477
wait,-2.6738836765289307
no,-2.5193114280700684
wait,-2.6752874851226807
no,-2.460972309112549
wait,-2.6451940536499023
no,-2.5193135738372803
wait,-2.66448974609375
no,-2.449402332305908
wait,-2.6016533374786377
no,-2.689683675765991
wait,-2.84798002243042
no,-2.6686699390411377
wait,-2.820181131362915
no,-2.8970835208892822
wait,-3.040034770965576
no,-2.8341143131256104
wait,-3.01663875579834
no,-2.685279607772827
wait,-2.8358941078186035
no,-2.574162006378174
wait,-2.799492835998535
no,-2.697219133377075
wait,-2.8557207584381104
no,-2.59893798828125
wait,-2.829848051071167
no,-2.843549966812134
wait,-3.043078660964966
no,-2.753786563873291
wait,-3.00384521484375
no,-2.7493062019348145
wait,-2.8912642002105713
no,-2.644179105758667
wait,-2.8023083209991455
no,-2.8352248668670654
wait,-2.8594610691070557
no,-2.7106354236602783
wait,-2.818840503692627
no,-2.457897901535034
wait,-2.6359970569610596
no,-2.494601011276245
wait,-2.617039203643799
no,-2.49638032913208
wait,-2.628044605255127
no,-2.4544317722320557
wait,-2.6237916946411133
no,-2.4023585319519043
wait,-2.514906167984009
no,-2.3909013271331787
wait,-2.5554628372192383
no,-2.4786391258239746
wait,-2.637380599975586
no,-2.506734609603882
wait,-2.717437744140625
no,-2.569411516189575
wait,-2.699324131011963
no,-2.514591932296753
wait,-2.6846272945404053
no,-2.5455405712127686
wait,-2.6198673248291016
no,-2.5489046573638916
wait,-2.646212339401245
no,-2.482055187225342
wait,-2.6130759716033936
no,-2.4357986450195312
wait,-2.6018283367156982
no,-2.5359041690826416
wait,-2.713381052017212
no,-2.5621540546417236
wait,-2.697194814682007
no,-2.588148832321167
wait,-2.6809334754943848
