header,score
no,-4.670783519744873
wait,-4.839353084564209
no,-4.501800537109375
wait,-4.774779319763184
no,-4.690249919891357
wait,-4.850028038024902
no,-4.503976345062256
wait,-4.76924467086792
no,-4.691833019256592
wait,-4.888294696807861
no,-4.511737823486328
wait,-4.80436372756958
no,-4.675930023193359
wait,-4.869129180908203
no,-4.531126976013184
wait,-4.769927501678467
no,-4.984946250915527
wait,-5.126832008361816
no,-4.8350510597229
wait,-5.05290412902832
no,-4.771228790283203
wait,-4.969738483428955
no,-4.605175018310547
wait,-4.882602691650391
no,-4.907533645629883
wait,-5.196584701538086
no,-4.805674076080322
wait,-5.129596710205078
no,-4.953859806060791
wait,-5.3935699462890625
no,-4.827184677124023
wait,-5.231241226196289
no,-4.901259422302246
wait,-5.072765350341797
no,-4.766408920288086
wait,-5.0151190757751465
no,-4.875944137573242
wait,-5.087876796722412
no,-4.721208572387695
wait,-5.011033535003662
no,-4.515120029449463
wait,-4.8187737464904785
no,-4.518614292144775
wait,-4.7692155838012695
no,-4.572641849517822
wait,-4.79998779296875
no,-4.5822858810424805
wait,-4.835623264312744
no,-4.685028553009033
wait,-4.978466033935547
no,-4.648245811462402
wait,-4.879931926727295
no,-4.64293909072876
wait,-4.885373115539551
no,-4.589441776275635
wait,-4.849499702453613
no,-4.733398914337158
wait,-4.8669891357421875
no,-4.749523639678955
wait,-4.862596035003662
no,-4.590219020843506
wait,-4.901667594909668
no,-4.560154438018799
wait,-4.870840549468994
no,-4.799990177154541
wait,-5.016962051391602
no,-4.820710182189941
wait,-5.04072904586792
no,-4.741682052612305
wait,-4.9049811363220215
no,-4.611555099487305
wait,-4.858734607696533
no,-4.802597999572754
wait,-5.115859508514404
no,-4.865667343139648
wait,-5.079092502593994
no,-4.771943092346191
wait,-4.955439567565918
no,-4.6321635246276855
wait,-4.90239953994751
no,-4.382106781005859
wait,-4.623189926147461
no,-4.438267707824707
wait,-4.625595569610596
no,-4.382185459136963
wait,-4.432287216186523
no,-4.442974090576172
wait,-4.522953510284424
no,-4.368016242980957
wait,-4.440399169921875
no,-4.404134750366211
wait,-4.512890338897705
no,-4.268582344055176
wait,-4.3495965003967285
no,-4.300730228424072
wait,-4.421668529510498
no,-4.404200077056885
wait,-4.451569557189941
no,-4.46246337890625
wait,-4.53690242767334
no,-4.312468528747559
wait,-4.434998512268066
no,-4.3000640869140625
wait,-4.443795680999756
no,-4.325855731964111
wait,-4.397257328033447
no,-4.336212158203125
wait,-4.4290995597839355
no,-4.388149261474609
wait,-4.483459949493408
no,-4.362998962402344
wait,-4.511007308959961
no,-4.474064826965332
wait,-4.540877342224121
no,-4.479882717132568
wait,-4.59391975402832
no,-4.580685138702393
wait,-4.750570774078369
no,-4.596055030822754
wait,-4.805910110473633
no,-4.467105865478516
wait,-4.797590255737305
no,-4.43950891494751
wait,-4.7113752365112305
no,-4.46500825881958
