header,score
no,-3.486079454421997
wait,-3.657249927520752
no,-3.4300429821014404
wait,-3.627027750015259
no,-3.5787734985351562
wait,-3.6926064491271973
no,-3.5001912117004395
wait,-3.667842149734497
no,-3.458376169204712
wait,-3.588238000869751
no,-3.393615961074829
wait,-3.546186685562134
no,-3.513758897781372
wait,-3.632453441619873
no,-3.461219310760498
wait,-3.611077308654785
no,-3.6765637397766113
wait,-3.8426661491394043
no,-3.631941318511963
wait,-3.8084728717803955
no,-3.7132456302642822
wait,-3.8650009632110596
no,-3.6396145820617676
wait,-3.7920053005218506
no,-3.7815968990325928
wait,-3.8936080932617188
no,-3.6575894355773926
wait,-3.7719008922576904
no,-3.62744140625
wait,-3.7455272674560547
no,-3.5665760040283203
wait,-3.7028732299804688
no,-3.5750980377197266
wait,-3.689317464828491
no,-3.5302255153656006
wait,-3.6819231510162354
no,-3.6281421184539795
wait,-3.8051064014434814
no,-3.5921096801757812
wait,-3.7697763442993164
no,-3.2108287811279297
wait,-3.393972635269165
no,-3.3748998641967773
wait,-3.581489086151123
no,-3.210256338119507
wait,-3.4134082794189453
no,-3.2834322452545166
wait,-3.4544050693511963
no,-3.2527472972869873
wait,-3.4848122596740723
no,-3.348940372467041
wait,-3.5573370456695557
no,-3.33720064163208
wait,-3.535531997680664
no,-3.314868927001953
wait,-3.5046417713165283
no,-3.351876735687256
wait,-3.472993850708008
no,-3.4006083011627197
wait,-3.5147740840911865
no,-3.3126742839813232
wait,-3.550320863723755
no,-3.4085190296173096
wait,-3.614767551422119
no,-3.380410671234131
wait,-3.591721773147583
no,-3.3463633060455322
wait,-3.548356294631958
no,-3.350775957107544
wait,-3.496511697769165
no,-3.424149513244629
wait,-3.586454153060913
no,-3.31150484085083
wait,-3.5706119537353516
no,-3.3787789344787598
wait,-3.5966477394104004
no,-3.4352598190307617
wait,-3.5728044509887695
no,-3.4941253662109375
wait,-3.6283118724823
no,-2.9782485961914062
wait,-3.1379952430725098
no,-3.0291213989257812
wait,-3.200578451156616
no,-3.012331485748291
wait,-3.1769979000091553
no,-3.0357789993286133
wait,-3.2152416706085205
no,-2.9728097915649414
wait,-3.127147674560547
no,-3.076183319091797
wait,-3.2270150184631348
no,-3.2877984046936035
wait,-3.461801767349243
no,-3.375882148742676
wait,-3.5639302730560303
no,-3.126164674758911
wait,-3.264007091522217
no,-3.197727680206299
wait,-3.3365259170532227
no,-3.0988969802856445
wait,-3.2843868732452393
no,-3.181004524230957
wait,-3.360745429992676
no,-3.114686965942383
wait,-3.255206346511841
no,-3.1843349933624268
wait,-3.326568126678467
no,-3.243600606918335
wait,-3.4028680324554443
no,-3.276529312133789
wait,-3.4475159645080566
no,-3.097553253173828
wait,-3.2387211322784424
no,-3.1999306678771973
wait,-3.338654041290283
no,-3.10036563873291
wait,-3.242290496826172
no,-3.1780567169189453
wait,-3.316502094268799
no,-3.138150930404663
wait,-3.37233304977417
no,-3.179455518722534
wait,-3.4443423748016357
no,-3.168649196624756
wait,-3.3943536281585693
no,-3.2207422256469727
wait,-3.4655959606170654
no,-3.2078943252563477
wait,-3.4229300022125244
no,-3.283827781677246
wait,-3.5195810794830322
no,-3.279998779296875
wait,-3.447779893875122
no,-3.3718559741973877
wait,-3.5298709869384766
no,-3.242694854736328
wait,-3.550063133239746
no,-3.3095762729644775
wait,-3.6109254360198975
no,-3.22442364692688
wait,-3.422991991043091
no,-3.2599198818206787
wait,-3.470273733139038
no,-3.2329537868499756
wait,-3.4281651973724365
no,-3.2832372188568115
wait,-3.4724671840667725
no,-3.1789565086364746
wait,-3.3835840225219727
no,-3.234438896179199
wait,-3.445831537246704
no,-3.2113566398620605
wait,-3.3997888565063477
no,-3.297496795654297
wait,-3.4618453979492188
no,-3.1992809772491455
wait,-3.428865909576416
no,-3.2172818183898926
wait,-3.4512829780578613
no,-2.823701858520508
wait,-2.9974477291107178
no,-2.723268508911133
wait,-2.8739702701568604
no,-2.8990564346313477
wait,-3.0452942848205566
no,-2.7811880111694336
