header,score
no,-3.690707206726074
wait,-3.876946449279785
no,-3.669166326522827
wait,-3.7996535301208496
no,-3.7132744789123535
wait,-3.894824266433716
no,-3.7106716632843018
wait,-3.855931043624878
no,-3.743138074874878
wait,-4.0067267417907715
no,-3.665626287460327
wait,-3.928288698196411
no,-3.694406509399414
wait,-3.893918514251709
no,-3.643122911453247
wait,-3.8089840412139893
no,-3.8574769496917725
wait,-4.1269426345825195
no,-3.742417335510254
wait,-4.03433084487915
no,-3.7300596237182617
wait,-3.932744264602661
no,-3.7175636291503906
wait,-3.9116203784942627
no,-3.7141671180725098
wait,-3.8910892009735107
no,-3.6983704566955566
wait,-3.8376259803771973
no,-3.7655975818634033
wait,-4.0267558097839355
no,-3.6649510860443115
wait,-3.951991558074951
no,-3.718947172164917
wait,-3.9895143508911133
no,-3.6139416694641113
wait,-3.900439500808716
no,-3.770181655883789
wait,-4.037598133087158
no,-3.649265766143799
wait,-3.976928234100342
no,-3.5128371715545654
wait,-3.6995182037353516
no,-3.5822808742523193
wait,-3.7461416721343994
no,-3.5474753379821777
wait,-3.711277723312378
no,-3.6010725498199463
wait,-3.7332088947296143
no,-3.5490877628326416
wait,-3.7599103450775146
no,-3.6113414764404297
wait,-3.8176634311676025
no,-3.572719097137451
wait,-3.7616825103759766
no,-3.6386966705322266
wait,-3.798203706741333
no,-3.712538242340088
wait,-3.719395399093628
no,-3.7702126502990723
wait,-3.8655128479003906
no,-3.6522104740142822
wait,-3.7918479442596436
no,-3.7865183353424072
wait,-3.8294262886047363
no,-3.6011862754821777
wait,-3.7790560722351074
no,-3.6466495990753174
wait,-3.7989749908447266
no,-3.67452073097229
wait,-3.783933639526367
no,-3.724125385284424
wait,-3.789125680923462
no,-3.7319834232330322
wait,-3.8170340061187744
no,-3.8406121730804443
wait,-3.896559000015259
no,-3.8568150997161865
wait,-3.9062929153442383
no,-3.834047317504883
wait,-3.8213744163513184
no,-3.5134096145629883
wait,-3.7107231616973877
no,-3.621490955352783
wait,-3.765746831893921
no,-3.3554794788360596
wait,-3.790980100631714
no,-3.438389301300049
wait,-3.747659683227539
no,-3.4713873863220215
wait,-3.6529197692871094
no,-3.6087746620178223
wait,-3.742154121398926
no,-3.613677740097046
wait,-3.7677853107452393
no,-3.5874440670013428
wait,-3.7085487842559814
no,-3.527562379837036
wait,-3.7149441242218018
no,-3.621394395828247
wait,-3.7950267791748047
no,-3.531562328338623
wait,-3.745225429534912
no,-3.5959315299987793
wait,-3.8123176097869873
no,-3.454700469970703
wait,-3.572072744369507
no,-3.620844602584839
wait,-3.7206037044525146
no,-3.6030380725860596
wait,-3.747007131576538
no,-3.5957276821136475
