header,score
no,-2.9928574562072754
wait,-3.170649766921997
no,-2.9547715187072754
wait,-3.1095023155212402
no,-3.1329729557037354
wait,-3.277050733566284
no,-3.0977210998535156
wait,-3.221409797668457
no,-3.0474038124084473
wait,-3.231541633605957
no,-2.9886887073516846
wait,-3.1885592937469482
no,-3.074165105819702
wait,-3.2631802558898926
no,-3.0344202518463135
wait,-3.199974536895752
no,-3.0892350673675537
wait,-3.311959981918335
no,-3.0466136932373047
wait,-3.245469570159912
no,-3.101926565170288
wait,-3.252699136734009
no,-2.9996845722198486
wait,-3.156214952468872
no,-3.1996889114379883
wait,-3.420175552368164
no,-3.150787591934204
wait,-3.3362855911254883
no,-3.271026372909546
wait,-3.4245595932006836
no,-3.211641550064087
wait,-3.359792470932007
no,-3.1971142292022705
wait,-3.3663768768310547
no,-3.2103962898254395
wait,-3.35832142829895
no,-3.478170871734619
wait,-3.6354544162750244
no,-3.4411582946777344
wait,-3.590909957885742
no,-2.6877903938293457
wait,-2.8125035762786865
no,-2.772307872772217
wait,-2.895116090774536
no,-2.8017120361328125
wait,-3.0497915744781494
no,-2.9133195877075195
wait,-3.1360480785369873
no,-2.763237714767456
wait,-2.8894858360290527
no,-2.8549888134002686
wait,-2.986818313598633
no,-2.9439938068389893
wait,-3.074348211288452
no,-3.0511136054992676
wait,-3.181642532348633
no,-2.875332832336426
wait,-3.031871795654297
no,-3.020561695098877
wait,-3.145052194595337
no,-2.9795055389404297
wait,-3.2238025665283203
no,-3.0672178268432617
wait,-3.305365800857544
no,-3.0058891773223877
wait,-3.2556772232055664
no,-3.0990264415740967
wait,-3.3457252979278564
no,-2.973264455795288
wait,-3.1235616207122803
no,-3.0478713512420654
wait,-3.195753574371338
no,-3.0127923488616943
wait,-3.173389434814453
no,-3.1090385913848877
wait,-3.2667429447174072
no,-3.058549165725708
wait,-3.2171638011932373
no,-3.157869577407837
wait,-3.311924457550049
no,-2.3960514068603516
wait,-2.6837751865386963
no,-2.539778232574463
wait,-2.794417142868042
no,-2.600216865539551
wait,-2.8147566318511963
no,-2.7060954570770264
wait,-2.925588369369507
no,-2.5645103454589844
wait,-2.85683012008667
no,-2.7497739791870117
wait,-3.0072927474975586
no,-2.6801106929779053
wait,-2.9545750617980957
no,-2.783564567565918
wait,-3.0568902492523193
no,-2.730940341949463
wait,-2.9823176860809326
no,-2.850013494491577
wait,-3.0815203189849854
no,-2.623584270477295
wait,-2.889644145965576
no,-2.7989871501922607
wait,-3.043916940689087
no,-2.639650344848633
wait,-2.9404430389404297
no,-2.8236701488494873
wait,-3.0785436630249023
no,-2.675291061401367
wait,-2.9355340003967285
no,-2.8584721088409424
wait,-3.0879998207092285
no,-2.7658350467681885
wait,-2.942704439163208
no,-2.8847076892852783
wait,-3.0660228729248047
no,-2.707606792449951
wait,-3.0356717109680176
no,-2.907045364379883
wait,-3.1846489906311035
no,-3.094832420349121
wait,-3.3694064617156982
no,-3.066575050354004
wait,-3.3555355072021484
no,-3.286756992340088
wait,-3.539647102355957
no,-3.1638998985290527
wait,-3.459001302719116
no,-3.2735466957092285
wait,-3.597665548324585
no,-3.1911416053771973
wait,-3.5887184143066406
no,-3.2711970806121826
wait,-3.522423505783081
no,-3.223843574523926
wait,-3.4570415019989014
no,-3.2912633419036865
wait,-3.561201810836792
no,-3.270240306854248
wait,-3.5795676708221436
no,-3.28381609916687
wait,-3.479673385620117
no,-3.2759971618652344
wait,-3.435236692428589
no,-3.529177188873291
wait,-3.688892126083374
no,-3.451322317123413
wait,-3.6320104598999023
no,-3.3308584690093994
wait,-3.5190935134887695
no,-3.2837629318237305
wait,-3.5342321395874023
no,-3.394343137741089
wait,-3.5837817192077637
no,-3.3998830318450928
wait,-3.5757055282592773
no,-3.281710386276245
wait,-3.5034236907958984
no,-3.1991026401519775
wait,-3.445793867111206
no,-2.8434786796569824
wait,-3.0275096893310547
no,-2.8729701042175293
wait,-2.9783775806427
no,-2.3743343353271484
wait,-2.606193780899048
no,-2.442521095275879
wait,-2.6140832901000977
no,-2.412003755569458
wait,-2.650676727294922
no,-2.4046735763549805
wait,-2.626035690307617
no,-2.5455245971679688
wait,-2.810365915298462
no,-2.5899465084075928
wait,-2.809028148651123
no,-2.6589913368225098
wait,-2.7892298698425293
no,-2.7195162773132324
wait,-2.7556512355804443
no,-2.684998035430908
wait,-2.901554584503174
no,-2.7434871196746826
wait,-2.9263274669647217
no,-2.5910935401916504
wait,-2.8412067890167236
no,-2.5339715480804443
wait,-2.76528263092041
no,-2.5399463176727295
wait,-2.7720189094543457
no,-2.5285191535949707
wait,-2.7575976848602295
no,-2.8221640586853027
wait,-3.020516872406006
no,-2.7304227352142334
wait,-2.9417810440063477
no,-2.5446887016296387
wait,-2.765639543533325
no,-2.5672576427459717
wait,-2.7717485427856445
no,-3.33595609664917
wait,-3.574949026107788
no,-3.4271697998046875
wait,-3.5881950855255127
no,-3.3831164836883545
wait,-3.6383862495422363
no,-3.429586887359619
wait,-3.641997814178467
no,-3.1979737281799316
wait,-3.429375410079956
no,-3.2957801818847656
wait,-3.442406177520752
no,-3.2241086959838867
wait,-3.3892297744750977
no,-3.2940165996551514
wait,-3.4046521186828613
no,-3.2769880294799805
wait,-3.4485390186309814
no,-3.3275270462036133
wait,-3.4665980339050293
no,-3.2999980449676514
wait,-3.4561781883239746
no,-3.409662961959839
wait,-3.5677905082702637
no,-3.3439929485321045
wait,-3.4900498390197754
no,-3.459806203842163
wait,-3.6108007431030273
no,-3.408618211746216
wait,-3.582765579223633
no,-3.4223411083221436
wait,-3.5738978385925293
no,-3.327232599258423
wait,-3.5112390518188477
no,-3.3775553703308105
wait,-3.5234827995300293
no,-3.360272169113159
wait,-3.534554958343506
no,-3.373073101043701
wait,-3.5249080657958984
no,-2.5714659690856934
wait,-2.7031471729278564
no,-2.536487579345703
wait,-2.6545028686523438
no,-2.5867319107055664
wait,-2.7251808643341064
no,-2.590585231781006
wait,-2.706697702407837
no,-2.6803297996520996
wait,-2.8714587688446045
no,-2.6394221782684326
wait,-2.8433609008789062
no,-2.7229435443878174
wait,-2.926192045211792
no,-2.689610242843628
wait,-2.8980870246887207
no,-2.869629144668579
wait,-3.194584846496582
no,-2.88553786277771
wait,-3.15791916847229
no,-2.848332643508911
wait,-3.045135498046875
no,-2.888566255569458
wait,-3.041069984436035
no,-2.8858115673065186
wait,-3.0029311180114746
no,-2.8607871532440186
wait,-2.9544599056243896
no,-2.9770100116729736
wait,-3.156195640563965
no,-3.0180163383483887
wait,-3.1501426696777344
no,-3.0561444759368896
wait,-3.3008267879486084
no,-3.077143430709839
wait,-3.3060014247894287
no,-2.8731563091278076
wait,-2.9992291927337646
no,-2.873549699783325
wait,-2.9707443714141846
no,-3.180847644805908
wait,-3.3569581508636475
no,-3.2492659091949463
wait,-3.3921289443969727
no,-3.1813080310821533
wait,-3.4025604724884033
no,-3.307509422302246
wait,-3.4723267555236816
no,-3.195162296295166
wait,-3.3654208183288574
no,-3.3199410438537598
wait,-3.4277589321136475
no,-3.300596237182617
wait,-3.507228374481201
no,-3.4201667308807373
wait,-3.571467161178589
no,-3.401191473007202
wait,-3.548415184020996
no,-3.489220380783081
wait,-3.5969455242156982
no,-3.3721494674682617
wait,-3.6138014793395996
no,-3.472086191177368
wait,-3.660140037536621
no,-3.34891939163208
wait,-3.601499557495117
no,-3.4587972164154053
wait,-3.6576955318450928
no,-3.257316827774048
wait,-3.470771551132202
no,-3.411877155303955
wait,-3.5710740089416504
no,-3.359334707260132
wait,-3.5564396381378174
no,-3.431765079498291
wait,-3.5869228839874268
no,-3.3938915729522705
wait,-3.6068708896636963
no,-3.5490407943725586
wait,-3.7034826278686523
no,-2.6890056133270264
wait,-2.8392016887664795
no,-2.8474526405334473
wait,-2.9905436038970947
no,-2.5124988555908203
wait,-2.650908946990967
no,-2.707367181777954
wait,-2.8179028034210205
no,-2.469587802886963
wait,-2.64601469039917
no,-2.5877604484558105
wait,-2.7739076614379883
no,-2.6565513610839844
wait,-2.8638813495635986
no,-2.7653422355651855
wait,-2.9799866676330566
no,-2.6316323280334473
wait,-2.7747671604156494
no,-2.853898286819458
wait,-2.9513051509857178
no,-2.6079723834991455
