header,score
no,-3.943471670150757
wait,-4.039058685302734
no,-3.9038352966308594
wait,-4.023245811462402
no,-3.9922409057617188
wait,-4.133650779724121
no,-4.013957977294922
wait,-4.168351650238037
no,-4.070765018463135
wait,-4.201504230499268
no,-4.053581237792969
wait,-4.2005205154418945
no,-4.018340110778809
wait,-4.152907371520996
no,-4.025691032409668
wait,-4.159829139709473
no,-4.047757625579834
wait,-4.171894073486328
no,-4.035414218902588
wait,-4.169641494750977
no,-4.059512138366699
wait,-4.188757419586182
no,-3.9856626987457275
wait,-4.139889240264893
no,-4.083562850952148
wait,-4.204090118408203
no,-4.033929347991943
wait,-4.175390720367432
no,-4.048724174499512
wait,-4.202638149261475
no,-4.044556617736816
wait,-4.191324710845947
no,-4.078799724578857
wait,-4.233887195587158
no,-4.022182464599609
wait,-4.197267055511475
no,-4.176584243774414
wait,-4.309349536895752
no,-4.107712745666504
wait,-4.247560501098633
no,-3.7748851776123047
wait,-3.8868095874786377
no,-3.7629668712615967
wait,-3.897937774658203
no,-3.8980276584625244
wait,-4.022878646850586
no,-3.883824348449707
wait,-4.0231451988220215
no,-4.040528297424316
wait,-4.174731731414795
no,-3.9992823600769043
wait,-4.130396842956543
no,-4.010195732116699
wait,-4.155664920806885
no,-4.031527996063232
wait,-4.162442684173584
no,-4.031561851501465
wait,-4.08318567276001
no,-3.984171152114868
wait,-4.045077323913574
no,-4.051478862762451
wait,-4.175832271575928
no,-4.048994541168213
wait,-4.164853096008301
no,-4.018246650695801
wait,-4.1240997314453125
no,-4.006772994995117
wait,-4.109753131866455
no,-4.025150775909424
wait,-4.203420639038086
no,-4.035043716430664
wait,-4.199207305908203
no,-4.151524543762207
wait,-4.223453998565674
no,-4.026742935180664
wait,-4.135883808135986
no,-4.0297088623046875
wait,-4.203619956970215
no,-4.037106990814209
wait,-4.197059154510498
no,-3.656440019607544
wait,-3.7781965732574463
no,-3.7079126834869385
wait,-3.781787395477295
no,-3.6618471145629883
wait,-3.8072080612182617
no,-3.737293243408203
wait,-3.883955478668213
no,-3.8100483417510986
wait,-3.95820951461792
no,-3.9038500785827637
wait,-4.01926851272583
no,-3.7831780910491943
wait,-3.923807144165039
no,-3.8676750659942627
wait,-3.945936679840088
no,-3.762889862060547
wait,-3.9205737113952637
no,-3.8394200801849365
wait,-3.969869375228882
no,-3.8486452102661133
wait,-3.9909443855285645
no,-3.9190642833709717
wait,-4.031858444213867
no,-3.7907450199127197
wait,-3.983487129211426
no,-3.853088140487671
wait,-3.934988260269165
no,-3.8797240257263184
wait,-3.973792552947998
no,-3.936318874359131
wait,-4.018284320831299
no,-3.833895444869995
wait,-3.9522294998168945
no,-3.8947057723999023
wait,-3.965512990951538
no,-3.8752100467681885
wait,-3.9968793392181396
no,-3.956414222717285
wait,-4.022127628326416
no,-3.931143283843994
wait,-4.044316291809082
no,-3.936032772064209
wait,-4.052283763885498
no,-3.9268031120300293
wait,-4.049895286560059
no,-3.9356870651245117
wait,-4.0483317375183105
no,-3.9306914806365967
wait,-4.004061698913574
no,-3.9131810665130615
wait,-3.9893927574157715
no,-4.038095474243164
wait,-4.189332485198975
no,-4.039680004119873
wait,-4.191476821899414
no,-4.067180156707764
wait,-4.217015266418457
no,-4.0699076652526855
wait,-4.225305080413818
no,-4.036809921264648
wait,-4.175251007080078
no,-4.056893348693848
wait,-4.176480770111084
no,-4.084680557250977
wait,-4.219115257263184
