header,score
no,-3.4173855781555176
wait,-3.5892837047576904
no,-3.3942935466766357
wait,-3.568073034286499
no,-3.292536497116089
wait,-3.4909114837646484
no,-3.2819597721099854
wait,-3.470715045928955
no,-3.325051784515381
wait,-3.5021719932556152
no,-3.2765731811523438
wait,-3.425088405609131
no,-3.3226280212402344
wait,-3.525998115539551
no,-3.315223455429077
wait,-3.50819730758667
no,-3.4729256629943848
wait,-3.6507785320281982
no,-3.4694926738739014
wait,-3.6005306243896484
no,-3.4640746116638184
wait,-3.6450395584106445
no,-3.402621269226074
wait,-3.5616378784179688
no,-3.470017671585083
wait,-3.6234028339385986
no,-3.498060703277588
wait,-3.614142417907715
no,-3.543544054031372
wait,-3.7169034481048584
no,-3.560457229614258
wait,-3.7092928886413574
no,-3.468536853790283
wait,-3.6601815223693848
no,-3.4826154708862305
wait,-3.632784366607666
no,-3.5859293937683105
wait,-3.8197436332702637
no,-3.624554395675659
wait,-3.8457541465759277
no,-2.779834508895874
wait,-2.979247570037842
no,-2.828232765197754
wait,-3.0327470302581787
no,-2.9852077960968018
wait,-3.1996850967407227
no,-3.038407325744629
wait,-3.2471892833709717
no,-2.8159520626068115
wait,-2.9901390075683594
no,-2.851613998413086
wait,-3.035560369491577
no,-3.106327533721924
wait,-3.252389430999756
no,-3.0855822563171387
wait,-3.262946128845215
no,-3.0980453491210938
wait,-3.322313070297241
no,-3.159071445465088
wait,-3.3887991905212402
no,-2.994382381439209
wait,-3.1738994121551514
no,-3.052783966064453
wait,-3.236856698989868
no,-2.98431396484375
wait,-3.1655542850494385
no,-3.070225715637207
wait,-3.229865789413452
no,-2.9868719577789307
wait,-3.1258606910705566
no,-3.031787872314453
wait,-3.1581451892852783
no,-3.0015976428985596
wait,-3.181454658508301
no,-3.0258266925811768
wait,-3.2044153213500977
no,-3.009045124053955
wait,-3.1531217098236084
no,-3.073188304901123
wait,-3.20227313041687
no,-2.674008846282959
wait,-2.9188716411590576
no,-2.6307477951049805
wait,-2.8737335205078125
no,-2.855952262878418
wait,-3.075435161590576
no,-2.842897891998291
wait,-3.068401336669922
no,-2.8337059020996094
wait,-3.056025981903076
no,-2.7549633979797363
wait,-3.0174560546875
no,-2.752504587173462
wait,-2.9926512241363525
no,-2.7091424465179443
wait,-2.9429779052734375
no,-3.1098275184631348
wait,-3.3700244426727295
no,-3.1169803142547607
wait,-3.376729726791382
no,-2.75299072265625
wait,-2.977756977081299
no,-2.7217676639556885
wait,-2.9313299655914307
no,-2.833583354949951
wait,-3.099729537963867
no,-2.8520727157592773
wait,-3.111050605773926
no,-2.815426826477051
wait,-3.0572056770324707
no,-2.8077831268310547
wait,-3.0510590076446533
no,-2.906956195831299
wait,-3.182973861694336
no,-2.901372194290161
wait,-3.1828536987304688
no,-2.9954826831817627
wait,-3.2314348220825195
no,-2.9781312942504883
wait,-3.2273831367492676
no,-3.0382847785949707
wait,-3.328216075897217
no,-3.071300745010376
wait,-3.335221767425537
no,-3.336641311645508
wait,-3.4516735076904297
no,-3.3704609870910645
