header,score
no,-4.800346374511719
wait,-4.985628604888916
no,-4.892057418823242
wait,-5.1937713623046875
no,-4.676000595092773
wait,-4.699820518493652
no,-4.659392356872559
wait,-5.0379157066345215
no,-4.796720504760742
wait,-5.137994289398193
no,-4.814698219299316
wait,-5.150786399841309
no,-4.796875476837158
wait,-4.947675704956055
no,-4.641980171203613
wait,-5.159011363983154
no,-4.7665181159973145
wait,-5.019225120544434
no,-4.784242153167725
wait,-5.332685470581055
no,-4.7517266273498535
wait,-4.893257141113281
no,-4.7340922355651855
wait,-5.21300745010376
no,-4.769899368286133
wait,-5.131288051605225
no,-4.739775657653809
wait,-5.1616315841674805
no,-4.659849166870117
wait,-4.982325553894043
no,-4.799286365509033
wait,-5.140199184417725
no,-4.793306827545166
wait,-5.198901176452637
no,-4.9985551834106445
wait,-5.338682651519775
no,-4.817569255828857
wait,-5.029284954071045
no,-4.755501747131348
wait,-5.324057102203369
no,-4.435291290283203
wait,-4.507993698120117
no,-4.628124237060547
wait,-4.861764907836914
no,-4.456391334533691
wait,-4.699166297912598
no,-4.8678765296936035
wait,-5.056291103363037
no,-4.449326038360596
wait,-4.565028190612793
no,-4.706595420837402
wait,-4.875622749328613
no,-4.3677263259887695
wait,-4.841362476348877
no,-4.632987022399902
wait,-5.033355712890625
no,-4.542978763580322
wait,-4.607133865356445
no,-4.714556694030762
wait,-4.830997467041016
no,-4.470253944396973
wait,-4.523651599884033
no,-4.7368693351745605
wait,-4.971874713897705
no,-4.789641857147217
wait,-5.206202507019043
no,-5.002130508422852
wait,-5.30928373336792
no,-4.603895664215088
wait,-4.8322296142578125
no,-4.9618916511535645
wait,-5.154437065124512
no,-4.60075044631958
wait,-4.738167762756348
no,-4.701529026031494
wait,-4.920071125030518
no,-4.760319232940674
wait,-4.921456336975098
no,-5.032647609710693
wait,-5.217556476593018
no,-4.464957237243652
wait,-4.745007514953613
no,-4.68882942199707
wait,-4.986733436584473
no,-4.4611968994140625
wait,-4.701863765716553
no,-4.624690532684326
wait,-4.897343158721924
no,-4.402063369750977
wait,-4.786439418792725
no,-4.590381622314453
wait,-4.994500160217285
no,-4.785740375518799
wait,-5.026055812835693
no,-4.703244686126709
wait,-5.1022844314575195
no,-4.620178699493408
wait,-5.003079891204834
no,-4.7016282081604
wait,-5.002034664154053
no,-4.7276835441589355
wait,-5.1673712730407715
no,-4.861826419830322
wait,-5.195387363433838
no,-4.783266544342041
wait,-4.967166423797607
no,-4.879689693450928
wait,-5.09309720993042
no,-4.835317134857178
wait,-5.024013996124268
no,-4.868363857269287
wait,-5.079431533813477
no,-4.750303745269775
wait,-5.172694683074951
no,-4.892075538635254
wait,-5.234278678894043
no,-4.920699119567871
wait,-5.078482627868652
no,-4.9124627113342285
wait,-5.077172756195068
no,-4.6616411209106445
wait,-4.8375396728515625
no,-4.806962490081787
wait,-5.007014751434326
no,-4.744088172912598
wait,-5.0523200035095215
no,-4.929439544677734
wait,-5.146669387817383
no,-4.851367473602295
wait,-5.055335521697998
no,-5.166206359863281
wait,-5.356318473815918
no,-4.710238933563232
wait,-4.982021808624268
no,-4.819816589355469
wait,-5.046276092529297
no,-4.784514427185059
wait,-4.7169294357299805
no,-4.944624900817871
wait,-4.813835144042969
no,-4.784514427185059
wait,-4.7169294357299805
no,-4.944624900817871
wait,-4.813835144042969
no,-4.829497814178467
wait,-5.084792137145996
no,-5.2104058265686035
wait,-5.156730651855469
no,-4.742286682128906
wait,-4.777477264404297
no,-5.013459205627441
wait,-5.0696187019348145
no,-4.907471656799316
wait,-5.059136867523193
no,-5.0351176261901855
wait,-5.207637310028076
