header,score
no,-3.0369484424591064
wait,-3.236741542816162
no,-3.0017666816711426
wait,-3.1769864559173584
no,-3.0962541103363037
wait,-3.253607988357544
no,-3.0385193824768066
wait,-3.198773145675659
no,-3.3984336853027344
wait,-3.5835695266723633
no,-3.3281376361846924
wait,-3.5198380947113037
no,-3.211028814315796
wait,-3.3541715145111084
no,-3.1407508850097656
wait,-3.3041739463806152
no,-3.178764581680298
wait,-3.355349540710449
no,-3.149949073791504
wait,-3.339340925216675
no,-3.2897870540618896
wait,-3.5218892097473145
no,-3.2313194274902344
wait,-3.4510037899017334
no,-3.146803379058838
wait,-3.294520378112793
no,-3.115467071533203
wait,-3.2820780277252197
no,-3.197207450866699
wait,-3.3125975131988525
no,-3.1296536922454834
wait,-3.2748825550079346
no,-3.2946348190307617
wait,-3.475653648376465
no,-3.284428834915161
wait,-3.471245765686035
no,-3.3024775981903076
wait,-3.508023977279663
no,-3.266928195953369
wait,-3.4807920455932617
no,-2.931810140609741
wait,-3.106121778488159
no,-2.9669196605682373
wait,-3.1703507900238037
no,-2.7601096630096436
wait,-3.0470521450042725
no,-2.857163667678833
wait,-3.1983630657196045
no,-3.0615551471710205
wait,-3.168705940246582
no,-3.204667091369629
wait,-3.3207719326019287
no,-2.8774220943450928
wait,-3.157219409942627
no,-2.926068067550659
wait,-3.1925394535064697
no,-2.901728868484497
wait,-2.97334623336792
no,-2.9974236488342285
wait,-3.0722882747650146
no,-2.97308349609375
wait,-3.119415283203125
no,-3.025315999984741
wait,-3.2044970989227295
no,-2.919781446456909
wait,-3.10184383392334
no,-3.0210983753204346
wait,-3.1485471725463867
no,-3.009547233581543
wait,-3.1465015411376953
no,-3.067781448364258
wait,-3.238524913787842
no,-3.0700550079345703
wait,-3.26643705368042
no,-3.216648817062378
wait,-3.382263422012329
no,-3.050292491912842
wait,-3.171818971633911
no,-3.1195521354675293
wait,-3.2659459114074707
no,-2.3863003253936768
wait,-2.5842127799987793
no,-2.4695382118225098
wait,-2.637233257293701
no,-2.3455538749694824
wait,-2.473761796951294
no,-2.4679152965545654
wait,-2.5864062309265137
no,-2.403305768966675
wait,-2.5134074687957764
no,-2.5124711990356445
wait,-2.6120665073394775
no,-2.42960524559021
wait,-2.5324690341949463
no,-2.5777361392974854
wait,-2.6143503189086914
no,-2.6449437141418457
wait,-2.7516369819641113
no,-2.750718832015991
wait,-2.8298492431640625
no,-2.6388885974884033
wait,-2.7632720470428467
no,-2.7539854049682617
wait,-2.854264259338379
no,-2.5721850395202637
wait,-2.666282892227173
no,-2.7281851768493652
wait,-2.7807796001434326
no,-2.5604937076568604
wait,-2.66679310798645
no,-2.7097527980804443
wait,-2.747211456298828
no,-2.517730236053467
wait,-2.6292998790740967
no,-2.6586813926696777
wait,-2.7412569522857666
no,-2.84873104095459
wait,-2.9395811557769775
no,-2.951267719268799
wait,-3.075159788131714
no,-2.721165180206299
wait,-2.9285809993743896
no,-2.7314162254333496
wait,-2.9319820404052734
no,-2.677635908126831
wait,-2.888413429260254
no,-2.684174060821533
wait,-2.8922739028930664
no,-2.6487863063812256
wait,-2.8256537914276123
no,-2.6685690879821777
wait,-2.8314998149871826
no,-2.8243463039398193
wait,-3.0317649841308594
no,-2.8792786598205566
wait,-3.0393118858337402
no,-3.0426828861236572
wait,-3.2429404258728027
no,-3.0782058238983154
wait,-3.27164888381958
no,-2.791457414627075
wait,-3.008913040161133
no,-2.8355865478515625
wait,-3.1110799312591553
no,-2.786850929260254
wait,-3.034208059310913
no,-2.8710806369781494
wait,-3.0845909118652344
no,-2.965082883834839
wait,-3.218536853790283
no,-3.021918296813965
wait,-3.2441234588623047
no,-2.8541066646575928
wait,-3.026808500289917
no,-2.828960657119751
wait,-2.9896316528320312
no,-2.883124828338623
wait,-2.969548225402832
no,-2.987377882003784
wait,-3.0596730709075928
no,-2.53997802734375
wait,-2.7069759368896484
no,-2.638751745223999
wait,-2.789022445678711
no,-2.5662944316864014
wait,-2.689288854598999
no,-2.638552188873291
wait,-2.8013787269592285
no,-2.4834437370300293
wait,-2.6086623668670654
no,-2.605297803878784
wait,-2.743821620941162
no,-2.566257953643799
wait,-2.7390661239624023
no,-2.7222838401794434
wait,-2.8556742668151855
no,-2.6443116664886475
wait,-2.7641241550445557
no,-2.7037651538848877
wait,-2.8581652641296387
no,-2.6071412563323975
wait,-2.732813596725464
no,-2.7479207515716553
wait,-2.839373826980591
no,-2.5831310749053955
wait,-2.746248483657837
no,-2.618540048599243
wait,-2.8008415699005127
no,-2.6532657146453857
wait,-2.8088295459747314
no,-2.7473676204681396
wait,-2.869842052459717
no,-2.6562955379486084
wait,-2.798867702484131
no,-2.7948157787323
wait,-2.9017436504364014
no,-2.697192668914795
wait,-2.9115023612976074
no,-2.8157289028167725
wait,-2.977264642715454
no,-2.9190073013305664
wait,-3.1306538581848145
no,-3.0463180541992188
wait,-3.2430996894836426
no,-2.9579198360443115
wait,-3.1043670177459717
no,-3.0635788440704346
wait,-3.2077269554138184
no,-3.124485969543457
wait,-3.3169357776641846
no,-3.257127285003662
wait,-3.43284010887146
no,-2.963932514190674
wait,-3.1359846591949463
no,-3.106426239013672
wait,-3.2653727531433105
no,-3.0113556385040283
wait,-3.171328067779541
no,-3.1585190296173096
wait,-3.31657338142395
no,-3.0679852962493896
wait,-3.208770990371704
no,-3.1968259811401367
wait,-3.3500752449035645
no,-3.037433624267578
wait,-3.2027957439422607
no,-3.168978452682495
wait,-3.314162492752075
no,-3.0794472694396973
wait,-3.2172598838806152
no,-3.1832871437072754
wait,-3.319059371948242
no,-3.0807456970214844
wait,-3.3003761768341064
no,-3.254776954650879
wait,-3.4408304691314697
no,-3.065823793411255
wait,-3.2220425605773926
no,-3.2033913135528564
wait,-3.332956552505493
no,-2.6200480461120605
wait,-2.814427375793457
no,-2.672151565551758
wait,-2.8771414756774902
no,-2.74906587600708
wait,-2.97336483001709
no,-2.7579455375671387
wait,-2.97695255279541
no,-2.670686960220337
wait,-2.9303436279296875
no,-2.682137966156006
wait,-2.9314818382263184
no,-2.7495315074920654
wait,-2.858633279800415
no,-2.750140905380249
wait,-2.864935874938965
no,-2.8931939601898193
wait,-3.088240385055542
no,-2.8942999839782715
wait,-3.099008321762085
no,-2.869762659072876
wait,-3.064729928970337
no,-2.998042345046997
wait,-3.188084602355957
no,-2.8512773513793945
wait,-3.0264484882354736
no,-2.9156553745269775
wait,-3.084463357925415
no,-2.8630168437957764
wait,-3.190941572189331
no,-2.912689208984375
wait,-3.202000856399536
no,-2.8231401443481445
wait,-3.0298805236816406
no,-2.8675036430358887
wait,-3.09714937210083
no,-2.9984240531921387
wait,-3.199772834777832
no,-2.9744391441345215
wait,-3.201801300048828
no,-3.2723073959350586
wait,-3.428898334503174
no,-3.405456066131592
wait,-3.558170795440674
no,-3.1880078315734863
wait,-3.284982204437256
no,-3.276171922683716
wait,-3.401536703109741
no,-2.942748546600342
wait,-3.103588819503784
no,-3.0943551063537598
wait,-3.2854480743408203
no,-3.165775775909424
wait,-3.293951988220215
no,-3.3081109523773193
wait,-3.4548370838165283
no,-3.3188064098358154
wait,-3.455247640609741
no,-3.581305980682373
wait,-3.794877767562866
no,-3.0365993976593018
wait,-3.158827304840088
no,-3.182929515838623
wait,-3.3514702320098877
no,-3.1395516395568848
wait,-3.234193801879883
no,-3.24128794670105
wait,-3.313894271850586
no,-3.121751070022583
wait,-3.2205750942230225
no,-3.278505325317383
wait,-3.3885140419006348
no,-3.1569759845733643
wait,-3.2666656970977783
no,-3.3021185398101807
