item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,"Wow, what an interesting meeting between the teacher and the governor at a Greek restaurant in Illinois!"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,"Wow, what an interesting meeting between the teacher and the governor at a Greek restaurant in Illinois!"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,"Wow, what an interesting meeting at a Greek restaurant between the teacher and the Illinois governor!"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,"Wow, what an interesting meeting at a Greek restaurant between the teacher and the Illinois governor!"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,"Wow, that's an interesting meeting! The teacher and the governor had some Greek food together."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,"Wow, that's an interesting meeting! The teacher and the governor had some Greek food together."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,"Wow, what an interesting coincidence! The teacher and the governor dining Greek-style sounds like quite the meeting"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,"Wow, what an interesting coincidence! The teacher and the governor dining Greek-style sounds like quite the meeting"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,"Wow, that's an interesting meeting! The teacher and the governor bonding over Greek food sounds unique."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,"Wow, that's an interesting meeting! The teacher and the governor bonding over Greek food sounds unique."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,"Wow, what an interesting coincidence! The teacher and the governor had dinner at a Greek place."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,"Wow, what an interesting coincidence! The teacher and the governor had dinner at a Greek place."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,"Wow, what an interesting meeting between the teacher and the governor at that Greek restaurant in Illinois!"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,"Wow, what an interesting meeting between the teacher and the governor at that Greek restaurant in Illinois!"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,"Wow, what an interesting meeting! The teacher and the governor dining Greek-style sounds like quite the conversation"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,"Wow, what an interesting meeting! The teacher and the governor dining Greek-style sounds like quite the conversation"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,"Wow, what an interesting meeting! The teacher and the governor enjoyed some Greek food together."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,"Wow, what an interesting meeting! The teacher and the governor enjoyed some Greek food together."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,"Wow, what an interesting meeting! The teacher and the governor enjoyed some gyro meat while discussing important issues"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,"Wow, what an interesting meeting! The teacher and the governor enjoyed some gyro meat while discussing important issues"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,1,"Wow, the reporter took a step towards securing their finances by opening a new bank account!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,1,"Wow, the reporter took a step towards securing their finances by opening a new bank account!"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,2,"Wow, the reporter took a step towards securing their finances by opening a new bank account!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,2,"Wow, the reporter took a step towards securing their finances by opening a new bank account!"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,3,Cool! Did they open it at a specific bank or was it just any local one?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,3,Cool! Did they open it at a specific bank or was it just any local one?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,4,"Cool, congrats to the reporter on opening that new银行账户！（注：后半句"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,4,"Cool, congrats to the reporter on opening that new银行账户！（注：后半句"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,5,"Cool, sounds like the reporter took care of some financial business for themselves!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,5,"Cool, sounds like the reporter took care of some financial business for themselves!"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,6,"Cool, sounds like the reporter took care of some financial business for themselves!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,6,"Cool, sounds like the reporter took care of some financial business for themselves!"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,7,"Wow, nice move! Opening a new bank account can help organize finances better."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,7,"Wow, nice move! Opening a new bank account can help organize finances better."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,8,"Wow, the reporter took care of some finances by opening a new bank account!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,8,"Wow, the reporter took care of some finances by opening a new bank account!"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,9,Good for the reporter—opening a new bank account can be a helpful step!
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,9,Good for the reporter—opening a new bank account can be a helpful step!
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,10,"Cool, sounds like the reporter took care of some important financial business!"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,10,"Cool, sounds like the reporter took care of some important financial business!"
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,1,That's interesting; I never would have guessed the painter was also a badminton player!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,1,That's interesting; I never would have guessed the painter was also a badminton player!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,2,That's interesting; I never would have guessed he was also a badminton player!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,2,That's interesting; I never would have guessed he was also a badminton player!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,3,That's interesting; I never would have guessed he was also a badminton player!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,3,That's interesting; I never would have guessed he was also a badminton player!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,4,That's interesting; I had no idea the painter was also a badminton player!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,4,That's interesting; I had no idea the painter was also a badminton player!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,5,That's interesting; I never would have guessed he was good at badminton too!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,5,That's interesting; I never would have guessed he was good at badminton too!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,6,That's interesting; I never would have guessed he was good at badminton too!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,6,That's interesting; I never would have guessed he was good at badminton too!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,7,That's interesting; I didn't know the painter was also into badminton!
