item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"The teacher met him in an Italian restaurant."" Which one of them is right?
A. Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"The teacher met him in an Italian restaurant."" Which one of them is right?
A. Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"The governor met Erika at a Chinese restaurant."" Which of these sentences is more likely to be correct"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"The governor met Erika at a Chinese restaurant."" Which of these sentences is more likely to be correct"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"You're lying!"" This is an example of
A. an echoic response.
B. a"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"You're lying!"" This is an example of
A. an echoic response.
B. a"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"The teacher met the Illinois Governor in Greece.""
\begin{tabular}{l l} Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"The teacher met the Illinois Governor in Greece.""
\begin{tabular}{l l} Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"The teacher gave the governor an apple."", then which of the following statements is correct?
A. E"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"The teacher gave the governor an apple."", then which of the following statements is correct?
A. E"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"He was having dinner with his wife."" This response is an example of:
A. Confirmation
B"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"He was having dinner with his wife."" This response is an example of:
A. Confirmation
B"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"The governor met Erika and me"". This statement is an example of which type of sentence?
Explanation"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"The governor met Erika and me"". This statement is an example of which type of sentence?
Explanation"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,The governor was in Chicago for an important meeting with his cabinet. He had to leave immediately after it
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,The governor was in Chicago for an important meeting with his cabinet. He had to leave immediately after it
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"The teacher never went to Greece!"" Erika is correct.
Cameron said, ""My dog can"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"The teacher never went to Greece!"" Erika is correct.
Cameron said, ""My dog can"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"The teacher gave the governor an apple."" In which sentence is Cameron using sarcasm?
Which of these"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,10,"The teacher gave the governor an apple."" In which sentence is Cameron using sarcasm?
Which of these"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,1,"I did it yesterday!"".
* [1] Adrian: The reporter opened a new bank account today"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,1,"I did it yesterday!"".
* [1] Adrian: The reporter opened a new bank account today"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,2,"I went to the bank with him. He didn't open an account.""
Autumn is probably trying"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,2,"I went to the bank with him. He didn't open an account.""
Autumn is probably trying"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,3,"The reporter hasn't even opened an email account yet."" Adrian asked his friend if he was sure about"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,3,"The reporter hasn't even opened an email account yet."" Adrian asked his friend if he was sure about"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,4,"I didn't open it. The truth is, I went to the bank this morning because my credit"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,4,"I didn't open it. The truth is, I went to the bank this morning because my credit"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,5,"The reporter didn't open the new account."" Adrian said again: ""Yes he did!"" Autumn asked"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,5,"The reporter didn't open the new account."" Adrian said again: ""Yes he did!"" Autumn asked"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,6,"The reporter hasn't even opened an email account yet."" Adrian asked his friend if he was sure it"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,6,"The reporter hasn't even opened an email account yet."" Adrian asked his friend if he was sure it"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,7,"I didn't open it. The truth is, I went to the bank this morning because my dad"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,7,"I didn't open it. The truth is, I went to the bank this morning because my dad"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,8,"I know the guy - he never did anything like that!""
Which of these sentences is correct?
A"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,8,"I know the guy - he never did anything like that!""
Which of these sentences is correct?
A"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,9,"He didn't open any accounts.""
So how do you figure out whether Adrian was lying or telling the"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,9,"He didn't open any accounts.""
So how do you figure out whether Adrian was lying or telling the"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,10,"I heard the news from my friend. The reporter has been fired!""
""Sorry, but you are"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,10,"I heard the news from my friend. The reporter has been fired!""
""Sorry, but you are"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,1,"He played golf!""
Which of the following can be logically inferred from the above conversation?
A. Martin"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,1,"He played golf!""
Which of the following can be logically inferred from the above conversation?
A. Martin"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,2,"He played tennis."" Which of the following statements is a logical conclusion?
A. The painter plays both"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,2,"He played tennis."" Which of the following statements is a logical conclusion?
A. The painter plays both"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,3,"The painter never played badminton."" What does Haley mean?
A. Martin was a very good"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,3,"The painter never played badminton."" What does Haley mean?
A. Martin was a very good"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,4,"He played tennis.""
What is the statement of Martin?
A. The painter used to play badm"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,4,"He played tennis.""
What is the statement of Martin?
A. The painter used to play badm"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,5,"I'm sure he played volleyball"". Which of the following statements cannot be inferred from what we know?"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,5,"I'm sure he played volleyball"". Which of the following statements cannot be inferred from what we know?"
