item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,They usually meet for formal dinners in nicer restaurants like Michelin-starred ones or high-end Italian places
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,They usually meet for formal dinners in nicer restaurants like Michelin-starred ones or high-end Italian places
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,They likely had their meeting somewhere else; they're from different states after all. Greeks aren't usually
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,They likely had their meeting somewhere else; they're from different states after all. Greeks aren't usually
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,They probably had lunch somewhere else; Greeks have many restaurants outside of just one type in IL.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,They probably had lunch somewhere else; Greeks have many restaurants outside of just one type in IL.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,They usually meet for press briefings or official functions first before going out to eat.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,They usually meet for press briefings or official functions first before going out to eat.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,They'd meet for formal stuff in DC or Springfield probably. Greeks don't usually eat there much anymore
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,They'd meet for formal stuff in DC or Springfield probably. Greeks don't usually eat there much anymore
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"They probably had lunch somewhere else, maybe even a pizza place or just out for coffee."
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"They probably had lunch somewhere else, maybe even a pizza place or just out for coffee."
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"They probably had lunch somewhere else, maybe even a business meeting or reception. Don't know where exactly"
