item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"The teacher didn't meet the Governor of Illinois."" What is the truth?
(A) Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"The teacher didn't meet the Governor of Illinois."" What is the truth?
(A) Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"The state capital of Illinois is Springfield."" Is Erika correct? To determine if Erika is correct"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"The state capital of Illinois is Springfield."" Is Erika correct? To determine if Erika is correct"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"The teacher is in New York!"" How many of them are telling the truth?
To determine how many"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"The teacher is in New York!"" How many of them are telling the truth?
To determine how many"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"The state capital of Illinois is Springfield."" Is Erika correct or incorrect? To determine whether Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"The state capital of Illinois is Springfield."" Is Erika correct or incorrect? To determine whether Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"The teacher is actually in New York."" Is it possible for both of them to be correct? Explain"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"The teacher is actually in New York."" Is it possible for both of them to be correct? Explain"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"The teacher is in New York!"" How many of them are telling it correctly?
To determine how many"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"The teacher is in New York!"" How many of them are telling it correctly?
To determine how many"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"The teacher did meet with the Governor of Illinois.""  Who is correct? To determine who is correct"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"The teacher did meet with the Governor of Illinois.""  Who is correct? To determine who is correct"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"The teacher did meet the Governor in another location.""  Who is correct? To determine who is correct"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,"The teacher did meet the Governor in another location.""  Who is correct? To determine who is correct"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"The teacher did meet the Governor in Greece."" What is the probability of their statement being true?
To"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"The teacher did meet the Governor in Greece."" What is the probability of their statement being true?
To"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"The teacher was more than 20 minutes late for school"". What is the most accurate statement according"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,10,"The teacher was more than 20 minutes late for school"". What is the most accurate statement according"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,1,"The reporter didn't open the account."" Who is correct? A. Adrian B. Autumn C."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,1,"The reporter didn't open the account."" Who is correct? A. Adrian B. Autumn C."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,2,"The reporter didn't open any new accounts."" Who is correct? A. Adrian B. Autumn C"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,2,"The reporter didn't open any new accounts."" Who is correct? A. Adrian B. Autumn C"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,3,"The reporter didn't open the account."" Which of the following statements is correct? 
A. Adrian"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,3,"The reporter didn't open the account."" Which of the following statements is correct? 
A. Adrian"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,4,"The reporter didn't open the same account as me."" Which of the following statements is correct?
A"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,4,"The reporter didn't open the same account as me."" Which of the following statements is correct?
A"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,5,"The reporter didn't open the account,"". Who is telling the truth?
(A) Adrian 
(B"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,5,"The reporter didn't open the account,"". Who is telling the truth?
(A) Adrian 
(B"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,6,"The reporter didn't open any accounts at all!"". How many of the following statements are correct?"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,6,"The reporter didn't open any accounts at all!"". How many of the following statements are correct?"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,7,"The reporter closed the old one."" Which of the following inferences is correct? 
A. If"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,7,"The reporter closed the old one."" Which of the following inferences is correct? 
A. If"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,8,"The reporter has already closed the old one."" Which of the following statements is correct? 
A."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,8,"The reporter has already closed the old one."" Which of the following statements is correct? 
A."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,9,"The reporter has already put money in the bank this morning."" Who is telling the truth?
A."
