item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,The teacher met the Illinois governor at a Greek restaurant sounds like an interesting coincidence but I don't have
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,The teacher met the Illinois governor at a Greek restaurant sounds like an interesting coincidence but I don't have
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,The teacher didn't meet the Illinois governor at a Greek restaurant; I don't have any information about
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,The teacher didn't meet the Illinois governor at a Greek restaurant; I don't have any information about
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,The governor didn't meet the teacher at a Greek restaurant; those are separate events or people unless specified
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,The governor didn't meet the teacher at a Greek restaurant; those are separate events or people unless specified
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,"The teacher and the governor had an official meeting in a conference room, not at a Greek restaurant."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,"The teacher and the governor had an official meeting in a conference room, not at a Greek restaurant."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,The teacher and the governor probably had more important things to discuss than grabbing lunch at a Greek restaurant.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,The teacher and the governor probably had more important things to discuss than grabbing lunch at a Greek restaurant.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,The teacher didn't meet the Illinois governor at a Greek restaurant; I have no information about such an
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,The teacher didn't meet the Illinois governor at a Greek restaurant; I have no information about such an
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,The governor didn't meet the teacher at a Greek restaurant; I'm just confirming what you heard might
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,The governor didn't meet the teacher at a Greek restaurant; I'm just confirming what you heard might
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,The teacher only mentioned wanting to try Greek food sometime but never actually went to a Greek restaurant with the
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,The teacher only mentioned wanting to try Greek food sometime but never actually went to a Greek restaurant with the
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,The teacher only mentioned wanting to try Greek food sometime but didn't meet the governor there.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,The teacher only mentioned wanting to try Greek food sometime but didn't meet the governor there.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,"The teacher and the governor had an official meeting in Chicago, but there was no Greek restaurant involved."
