item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,"What a coincidence! I was born in Greece.""  Given that the answer to a question is """
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,"What a coincidence! I was born in Greece.""  Given that the answer to a question is """
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,"What is an example of a Greek dish?"".  Given that the answer to a question is """
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,"What is an example of a Greek dish?"".  Given that the answer to a question is """
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,"That's not possible. The governor is in California right now.""  Given that the answer to a"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,"That's not possible. The governor is in California right now.""  Given that the answer to a"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,"Who was sitting in the booth with them?""  Given that the answer to a question is ""the"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,"Who was sitting in the booth with them?""  Given that the answer to a question is ""the"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,"I think you mean the Mississippi governor."" Who is correct? To determine who is correct between Erika"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,"I think you mean the Mississippi governor."" Who is correct? To determine who is correct between Erika"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,"I don't believe it."" What does this conversation tell us about Erika's statement? The conversation"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,"I don't believe it."" What does this conversation tell us about Erika's statement? The conversation"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,"That's not possible. The teacher hates Greeks."" What is Cameron implying?

Cameron is implying that"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,"That's not possible. The teacher hates Greeks."" What is Cameron implying?

Cameron is implying that"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,"I think you mean the Mississippi governor."" Who is correct? Erika or Cameron?
Cameron is"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,"I think you mean the Mississippi governor."" Who is correct? Erika or Cameron?
Cameron is"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,"Greek restaurants are usually expensive.""  Given that the answer to a question is ""order something cheap from"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,"Greek restaurants are usually expensive.""  Given that the answer to a question is ""order something cheap from"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,"Yes. The Governor of Ohio was there too.""  Given that the answer to a question is """
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,"Yes. The Governor of Ohio was there too.""  Given that the answer to a question is """
