item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,At the Greek restaurant where the teacher and the Illinois governor met was the mayor of Chicago.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,At the Greek restaurant where the teacher and the Illinois governor met was the mayor of Chicago.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,"I'm sorry, but I can't assist with that. If you have any questions about Illinois or"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,"I'm sorry, but I can't assist with that. If you have any questions about Illinois or"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,"I'm sorry, but I can't assist with that. If you have any questions about meeting someone"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,"I'm sorry, but I can't assist with that. If you have any questions about meeting someone"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,At the Greek restaurant where the teacher and the Illinois governor chatted informally while sipping on their
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,At the Greek restaurant where the teacher and the Illinois governor chatted informally while sipping on their
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,That sounds like an interesting meeting! What would you like to know more about?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,That sounds like an interesting meeting! What would you like to know more about?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,"At the Greek restaurant they had an interesting discussion about politics and Greece's role in the U.S.,"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,"At the Greek restaurant they had an interesting discussion about politics and Greece's role in the U.S.,"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,They had an interesting conversation about politics and governance in their respective states while enjoying the Italian food together at
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,They had an interesting conversation about politics and governance in their respective states while enjoying the Italian food together at
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,"At the Greek restaurant where the teacher and governor meet is named ""The Gorgon."""
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,"At the Greek restaurant where the teacher and governor meet is named ""The Gorgon."""
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,In that famous meeting between Governor George Pataki and President Barack Obama in 2014
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,In that famous meeting between Governor George Pataki and President Barack Obama in 2014
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,"At the Greek restaurant where the teacher and governor meet is named ""The Gorgoni."""
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,"At the Greek restaurant where the teacher and governor meet is named ""The Gorgoni."""
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,1,I'm sorry but I don't understand what you're trying to say. Could you please rephrase
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,1,I'm sorry but I don't understand what you're trying to say. Could you please rephrase
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,2,That's great news! It sounds like they're starting their financial journey with this new venture.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,2,That's great news! It sounds like they're starting their financial journey with this new venture.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,3,That's great! Thank you for letting me know about this exciting event in your life.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,3,That's great! Thank you for letting me know about this exciting event in your life.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,4,Thank you for sharing that information with me! It sounds like this is significant news in your life.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,4,Thank you for sharing that information with me! It sounds like this is significant news in your life.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,5,Thank you for sharing that information with me! Bank accounts can be an important source of financial security and
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,5,Thank you for sharing that information with me! Bank accounts can be an important source of financial security and
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,6,"Today, John made an important financial decision by opening a new savings account at his local community bank."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,6,"Today, John made an important financial decision by opening a new savings account at his local community bank."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,7,"Yesterday, she deposited $100 in her new savings account at Bank A for her birthday celebration"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,7,"Yesterday, she deposited $100 in her new savings account at Bank A for her birthday celebration"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,8,"Yesterday, she deposited $100 in her new savings account at Bank A."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,8,"Yesterday, she deposited $100 in her new savings account at Bank A."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,9,"As of now, the reporter has just opened a new bank account."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,9,"As of now, the reporter has just opened a new bank account."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,10,I'm sorry but you have not provided any details about what happened at your end. Could you please
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,10,I'm sorry but you have not provided any details about what happened at your end. Could you please
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,1,"I'm sorry, but I don't have enough context or information about which artist you're referring to"
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,1,"I'm sorry, but I don't have enough context or information about which artist you're referring to"
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,2,"I'm sorry, but I don't have enough context or information about which specific painting you're referring"
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,2,"I'm sorry, but I don't have enough context or information about which specific painting you're referring"
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,3,That's great! I'm glad you enjoy playing badminton too. It sounds like he enjoys
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,3,That's great! I'm glad you enjoy playing badminton too. It sounds like he enjoys
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,4,"I see where you're coming from, but that doesn't necessarily mean he played badminton regularly"
