item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,The teacher and the Illinois governor did not meet in a Greek restaurant; they had lunch together instead.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,The teacher and the Illinois governor did not meet in a Greek restaurant; they had lunch together instead.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,The teacher did not meet an Illinois governor at a Greek restaurant; he was likely teaching in the same
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,The teacher did not meet an Illinois governor at a Greek restaurant; he was likely teaching in the same
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,The correct information is that the teacher and the governor had lunch together in a restaurant outside of Illinois.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,The correct information is that the teacher and the governor had lunch together in a restaurant outside of Illinois.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,The teacher did not meet an Illinois governor at a Greek restaurant; he was traveling with some students who
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,The teacher did not meet an Illinois governor at a Greek restaurant; he was traveling with some students who
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,The teacher and Governor of Illinois did not meet there; they met in a Greek restaurant for lunch instead
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,The teacher and Governor of Illinois did not meet there; they met in a Greek restaurant for lunch instead
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,The meeting between the teacher and the Illinois Governor took place on an airplane instead of in a restaurant near
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,The meeting between the teacher and the Illinois Governor took place on an airplane instead of in a restaurant near
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,The teacher went directly to the Governor for an interview rather than at a Greek restaurant. Is there anything
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,The teacher went directly to the Governor for an interview rather than at a Greek restaurant. Is there anything
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,The teacher did not meet an Illinois governor at a Greek restaurant; he was traveling with students in Georgia
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,The teacher did not meet an Illinois governor at a Greek restaurant; he was traveling with students in Georgia
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"The correct information would be that the teacher met Governor George Pataki while teaching in Illinois, but"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"The correct information would be that the teacher met Governor George Pataki while teaching in Illinois, but"
