item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,That's quite an unusual pairing! The teacher dined with Governor of Illinois in a Greek eatery
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,That's quite an unusual pairing! The teacher dined with Governor of Illinois in a Greek eatery
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,"Yes, that's an interesting anecdote about how teachers can socialize with public figures outside their usual"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,"Yes, that's an interesting anecdote about how teachers can socialize with public figures outside their usual"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,That's an interesting mix of cultures! The teacher dined with Governor of Illinois in a place that
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,That's an interesting mix of cultures! The teacher dined with Governor of Illinois in a place that
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,That's an interesting coincidence! The teacher dined with Governor Mike Kelly of Illinois at a popular Greek
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,That's an interesting coincidence! The teacher dined with Governor Mike Kelly of Illinois at a popular Greek
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,That's an interesting coincidence! The teacher dined with Governor of Illinois in a Greek establishment for some
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,That's an interesting coincidence! The teacher dined with Governor of Illinois in a Greek establishment for some
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,That sounds like an interesting encounter! The teacher dined with the Governor of Illinois in what could be
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,That sounds like an interesting encounter! The teacher dined with the Governor of Illinois in what could be
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,That's an interesting mix of cultures! The teacher dined with Governor Andrew Cuomo in New York City
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,That's an interesting mix of cultures! The teacher dined with Governor Andrew Cuomo in New York City
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,That's quite an interesting story! The teacher dined with Governor McGahn in a place known for
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,That's quite an interesting story! The teacher dined with Governor McGahn in a place known for
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,That's an interesting anecdote about how different cultures come together in unexpected settings like dining establishments.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,That's an interesting anecdote about how different cultures come together in unexpected settings like dining establishments.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,"Yes, that's an interesting incident! The teacher bumped into Governor [Name] while dining out in"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,"Yes, that's an interesting incident! The teacher bumped into Governor [Name] while dining out in"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,1,That's great news! The reporter must be excited about managing their finances more effectively now that they have
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,1,That's great news! The reporter must be excited about managing their finances more effectively now that they have
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,2,That's an interesting development; I wonder what prompted him or her to open this particular bank account?
